Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.012753873567585484 ,0.7929350947731189   ,0.00642863712194503  ,858969.0
Band Pull-Down Row                 ,0.009618367980142723 ,0.06695464362850972  ,0.0051813471502590676,5983.0
Bicep Curl                         ,0.006406596891849033 ,0.006089840217063612 ,0.006758113081298093 ,14945.0
Box Jump (on bench)                ,0.0019702627780705173,0.0010052835834852946,0.04914285714285714  ,875.0
Burpee                             ,0.014120154522445718 ,0.01151047887935715  ,0.01826012058570198  ,11610.0
Butterfly sit-up                   ,0.01593802584373115  ,0.01749128919860627  ,0.01463812911879629  ,34294.0
Chest Press                        ,0.01936264622831787  ,0.09690444145356662  ,0.010755900806692559 ,6694.0
Crunch                             ,0.014237967914438503 ,0.01058490284748795  ,0.021741349392671225 ,9797.0
Dip                                ,0.02468089613897569  ,0.020639560634245727 ,0.030690200210748163 ,7592.0
Dumbbell Deadlift Row              ,0.047628489433863816 ,0.02628093653188377  ,0.25372470535912833  ,8994.0
Dumbbell Row (both)                ,0.004068996019460416 ,0.02371134020618557  ,0.0022254475084663764,10335.0
Dumbbell Row (right)               ,0.02305580969807868  ,0.018845348489380798 ,0.029688972667295005 ,2122.0
Dumbbell Squat (hands at side)     ,0.08368310598111227  ,0.12065052950075646  ,0.06405622489959839  ,9960.0
Elliptical machine                 ,0.01500747703482162  ,0.059698321648608464 ,0.00858251122445863  ,32741.0
Punches                            ,0.02494832133437879  ,0.0144228788066098   ,0.09232392508572937  ,7582.0
Jump Rope                          ,0.2025042611773961   ,0.12675247226819494  ,0.5032857220442079   ,18413.0
Jumping Jacks                      ,0.03259758224574488  ,0.0170397384305835   ,0.3748271092669433   ,3615.0
Kettlebell Swing                   ,0.007958445976732178 ,0.005057915057915058 ,0.018658310781939896 ,7021.0
Lateral Raise                      ,0.012693788367495577 ,0.009993446920052423 ,0.017393783860849728 ,7014.0
Lawnmower (both)                   ,0.011324284846793913 ,0.0057299451918286   ,0.47850208044382797  ,721.0
Lawnmower (right)                  ,0.011290588429207186 ,0.007230696152425186 ,0.025747040030069536 ,5321.0
Lunge (both legs)                  ,0.004698972099853157 ,0.07459207459207459  ,0.0024258964445455235,13191.0
Ball Slam                          ,0.017295444994019332 ,0.00917258169598464  ,0.15112994350282485  ,7080.0
Triceps Extension (standing - both),0.03346587143803843  ,0.07214285714285715  ,0.021786022433132008 ,9272.0
Plank                              ,0.10691131979097088  ,0.11361643492421394  ,0.10095351166845992  ,26953.0
Power Boat pose                    ,0.17924161733446092  ,0.10274618730674492  ,0.701556629092861    ,5589.0
Pushups                            ,0.033580674863239984 ,0.03553008595988539  ,0.031834052166769364 ,9738.0
Rowing machine                     ,0.09356105156790964  ,0.09678856633649792  ,0.0905418403334402   ,31190.0
Running                            ,0.06385075215134994  ,0.045296735559335465 ,0.10815020862308762  ,35950.0
Russian Twist                      ,0.0012969748062643884,0.0009621860867891852,0.001989060169070114 ,10055.0
Seated Back Fly                    ,0.016752271829316476 ,0.011823759063022866 ,0.02872628726287263  ,7380.0
Shoulder Press                     ,0.0337478907568277   ,0.02256393113822497  ,0.06691449814126392  ,8070.0
Squat                              ,0.03797166293810589  ,0.06146788990825688  ,0.02747086750107898  ,46340.0
Triceps Kickback                   ,0.0061643458638340025,0.01084850833010461  ,0.0043053740293688015,13007.0
Triceps extension (lying)          ,0.01716143473858125  ,0.014539871760137268 ,0.02093628088426528  ,7690.0
Dumbbell Curl                      ,0.007935771301280859 ,0.0052872425947684135,0.015901060070671377 ,10754.0
V-up                               ,0.036014840285946974 ,0.01927547462223944  ,0.2737276478679505   ,10178.0
Walk                               ,0.3941727476845355   ,0.2687725761308997   ,0.7389345609996711   ,60820.0
Walking lunge                      ,0.07001698173064362  ,0.042877059858752536 ,0.19076672767947936  ,9834.0
Wall Ball                          ,0.01573834362904673  ,0.009133642746638105 ,0.05684132568042955  ,5401.0
Wall Squat                         ,0.1052382827884994   ,0.10246970394232244  ,0.10816062176165804  ,12352.0
accuracy                           ,0.06469210397867718  ,0.06469210397867718  ,0.06469210397867718  ,0.06469210397867718
macro avg                          ,0.0456260291464236   ,0.0629130847346248   ,0.11647963180722888  ,1405442.0
weighted avg                       ,0.040676647622355316 ,0.5134590262881198   ,0.06469210397867718  ,1405442.0
