Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.8031767673753027 ,0.7298419903224425 ,0.8928951862730374  ,858981.0
Band Pull-Down Row                 ,0.049632548727234  ,0.06840869054609512,0.03894367374226977 ,5983.0
Bicep Curl                         ,0.4481080735002241 ,0.429544617650669  ,0.4683485010706638  ,14944.0
Box Jump (on bench)                ,0.1629327902240326 ,0.20066889632107024,0.13714285714285715 ,875.0
Burpee                             ,0.10542533289314407,0.14594759293113954,0.08251507321274762 ,11610.0
Butterfly sit-up                   ,0.3839539673717592 ,0.4369047619047619 ,0.3424505744445093  ,34294.0
Chest Press                        ,0.15201948447331035,0.2370253164556962 ,0.11189124589184343 ,6694.0
Crunch                             ,0.2713453425299672 ,0.3944704049844237 ,0.20679799938756765 ,9797.0
Dip                                ,0.07537326857348442,0.11883153715258082,0.05518967334035827 ,7592.0
Dumbbell Deadlift Row              ,0.08598848368522073,0.138923344083354  ,0.0622637313764732  ,8994.0
Dumbbell Row (both)                ,0.11843147610245575,0.18637024724703927,0.08679245283018867 ,10335.0
Dumbbell Row (right)               ,0.06410684474123539,0.1099656357388316 ,0.04524033930254477 ,2122.0
Dumbbell Squat (hands at side)     ,0.1125925925925926 ,0.1893238434163701 ,0.08012048192771085 ,9960.0
Elliptical machine                 ,0.6477306349488136 ,0.6280877922823125 ,0.6686417641489264  ,32741.0
Punches                            ,0.637513397642015  ,0.6956182753781381 ,0.5883671854391981  ,7582.0
Jump Rope                          ,0.7250902375556115 ,0.7478356227634768 ,0.7036876120132515  ,18413.0
Jumping Jacks                      ,0.8276616099494328 ,0.8179362506753106 ,0.8376210235131397  ,3615.0
Kettlebell Swing                   ,0.5403570901578869 ,0.5605388030001529 ,0.5215781227745335  ,7021.0
Lateral Raise                      ,0.3013347961236057 ,0.4199796126401631 ,0.2349586541203308  ,7014.0
Lawnmower (both)                   ,0.08483563096500531,0.18018018018018014,0.05547850208044383 ,721.0
Lawnmower (right)                  ,0.19863836603924712,0.3428571428571429 ,0.13982334147716596 ,5321.0
Lunge (both legs)                  ,0.04103036938857834,0.08553580009610763,0.02698809794556895 ,13191.0
Ball Slam                          ,0.2445273882780188 ,0.4278150370631839 ,0.1711864406779661  ,7080.0
Triceps Extension (standing - both),0.3281260299255158 ,0.4219359213426005 ,0.2684426229508197  ,9272.0
Plank                              ,0.7809759780104913 ,0.8164562085154605 ,0.7484510073090194  ,26953.0
Power Boat pose                    ,0.4227365554799183 ,0.5776744186046512 ,0.3333333333333333  ,5589.0
Pushups                            ,0.1977484092021537 ,0.3098838483453868 ,0.14520435407681248 ,9738.0
Rowing machine                     ,0.33094043072247   ,0.4397151814655402 ,0.2653093940365502  ,31190.0
Running                            ,0.7373480758682409 ,0.7663526164186271 ,0.7104589707927678  ,35950.0
Russian Twist                      ,0.44370164035902204,0.5875409836065574 ,0.3564395822973645  ,10055.0
Seated Back Fly                    ,0.20789525887720692,0.38786084381939306,0.14200542005420055 ,7380.0
Shoulder Press                     ,0.04264894984997857,0.1576862123613312 ,0.02465923172242875 ,8070.0
Squat                              ,0.2429457245655669 ,0.418129117259552  ,0.1712127751402676  ,46340.0
Triceps Kickback                   ,0.2528110844657608 ,0.4119485932615492 ,0.1823633428154071  ,13007.0
Triceps extension (lying)          ,0.3934588701684836 ,0.5391579900407424 ,0.3097529258777633  ,7690.0
Dumbbell Curl                      ,0.4615298902445818 ,0.5756775538568449 ,0.3851590106007067  ,10754.0
V-up                               ,0.3290546864554085 ,0.5148535564853557 ,0.2417960306543525  ,10178.0
Walk                               ,0.3682614420813216 ,0.4681919642857143 ,0.303485695494903   ,60820.0
Walking lunge                      ,0.04303071211609855,0.1263001485884101 ,0.025933082477372117,9833.0
Wall Ball                          ,0.27820796460176994,0.5524437122460186 ,0.1859175753095546  ,5411.0
Wall Squat                         ,0.4423313790215303 ,0.5650094398993077 ,0.3634229274611399  ,12352.0
accuracy                           ,0.6764067616200224 ,0.6764067616200224 ,0.6764067616200224  ,0.6764067616200224
macro avg                          ,0.3264770628256999 ,0.4129129196608216 ,0.28590901991556245 ,1405462.0
weighted avg                       ,0.6388293429031772 ,0.6270374185786494 ,0.6764067616200224  ,1405462.0
