Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8342070126458437 ,0.78090909829341   ,0.8953131293377009 ,859038.0
Band Pull-Down Row                 ,0.15191210648637227,0.20637198622273248,0.12019391507856905,5982.0
Bicep Curl                         ,0.5785108024691357 ,0.5566417125533626 ,0.6021685295495616 ,14941.0
Box Jump (on bench)                ,0.3160083160083161 ,0.4021164021164021 ,0.2602739726027397 ,876.0
Burpee                             ,0.20519923290006392,0.2688066992323796 ,0.1659343499612303 ,11607.0
Butterfly sit-up                   ,0.4952505836824767 ,0.5487243090007087 ,0.4512735326688815 ,34314.0
Chest Press                        ,0.33011125296370597,0.4235899836180669 ,0.2704317944120723 ,6693.0
Crunch                             ,0.4564510299963861 ,0.5564693787634014 ,0.3869090166445421 ,9793.0
Dip                                ,0.21408182683158894,0.26881720430107525,0.17786561264822134,7590.0
Dumbbell Deadlift Row              ,0.1936086175942549 ,0.2733725410667208 ,0.14987769624193906,8994.0
Dumbbell Row (both)                ,0.2734652155613012 ,0.3613538852693469 ,0.2199651770168311 ,10338.0
Dumbbell Row (right)               ,0.18102372034956304,0.2677746999076639 ,0.13672795851013672,2121.0
Dumbbell Squat (hands at side)     ,0.2566354536648369 ,0.3593128390596745 ,0.19959819186338526,9955.0
Elliptical machine                 ,0.7441731732898264 ,0.7113654719135545 ,0.7801533245777466 ,32741.0
Punches                            ,0.7028298623123227 ,0.7389786119598428 ,0.6700527704485488 ,7580.0
Jump Rope                          ,0.7814438104688662 ,0.7933620641405944 ,0.7698783402129046 ,18412.0
Jumping Jacks                      ,0.9069360269360269 ,0.883495145631068  ,0.9316546762589928 ,3614.0
Kettlebell Swing                   ,0.6769143182465129 ,0.676529160739687  ,0.6772999145542581 ,7022.0
Lateral Raise                      ,0.4438259109311741 ,0.5428099855580771 ,0.3753745184762448 ,7009.0
Lawnmower (both)                   ,0.21562809099901084,0.3745704467353952 ,0.15138888888888888,720.0
Lawnmower (right)                  ,0.374755859375     ,0.5344707520891365 ,0.2885338345864661 ,5320.0
Lunge (both legs)                  ,0.1610209057425948 ,0.25467673121102724,0.11772737616627475,13183.0
Ball Slam                          ,0.4045330915684496 ,0.5640960809102402 ,0.3153356890459364 ,7075.0
Triceps Extension (standing - both),0.4858544859756467 ,0.5542501727712509 ,0.4324849007765315 ,9272.0
Plank                              ,0.8568741417903429 ,0.8690526155137548 ,0.8450322772130296 ,26954.0
Power Boat pose                    ,0.6128577186618299 ,0.7013376383763837 ,0.544201861130995  ,5588.0
Pushups                            ,0.4293752537850223 ,0.4932036247334754 ,0.3801746276322547 ,9735.0
Rowing machine                     ,0.5230872935625211 ,0.5855208291966165 ,0.4726853039240831 ,31192.0
Running                            ,0.7735997370263975 ,0.7955788112175907 ,0.7528024255236294 ,35951.0
Russian Twist                      ,0.6062920323720506 ,0.7091054526063192 ,0.5295171727227477 ,10045.0
Seated Back Fly                    ,0.3416741674167417 ,0.5099408919935519 ,0.2569030860855441 ,7388.0
Shoulder Press                     ,0.14921259842519688,0.3611243449261553 ,0.09403299838729688,8061.0
Squat                              ,0.42293261293711537,0.5747821249768218 ,0.3345493006389225 ,46328.0
Triceps Kickback                   ,0.42751034223392254,0.550151240169389  ,0.3495809948489275 ,13007.0
Triceps extension (lying)          ,0.5813282001924929 ,0.6744545610719808 ,0.5107988550611502 ,7686.0
Dumbbell Curl                      ,0.6016095561066963 ,0.6598934043970687 ,0.5527857873686168 ,10751.0
V-up                               ,0.5308905490335587 ,0.6692077727952167 ,0.4399567610062893 ,10176.0
Walk                               ,0.552248156368583  ,0.6059588341582214 ,0.5072837882275567 ,60820.0
Walking lunge                      ,0.16044560185185186,0.27773603806661656,0.11280642864408505,9831.0
Wall Ball                          ,0.3535911602209945 ,0.5515080297688993 ,0.2602106819441878 ,5411.0
Wall Squat                         ,0.5881274352509741 ,0.67740232312566   ,0.5196435803969218 ,12345.0
accuracy                           ,0.7312756900058984 ,0.7312756900058984 ,0.7312756900058984 ,0.7312756900058984
macro avg                          ,0.4608789576642822 ,0.5407030219550863 ,0.41486300100694734,1405459.0
weighted avg                       ,0.7107783939268915 ,0.7049735227362239 ,0.7312756900058984 ,1405459.0
