Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.3212349245991909  ,0.7268451831332717  ,0.20617858240438075 ,859032.0
Band Pull-Down Row                 ,0.29304984454919264 ,0.3661654135338346  ,0.24427353285403774 ,5981.0
Bicep Curl                         ,0.41254747802066455 ,0.34197895107666565 ,0.5198125836680053  ,14940.0
Box Jump (on bench)                ,0.0396039603960396  ,0.036398467432950186,0.043428571428571434,875.0
Burpee                             ,0.2779102819616428  ,0.22380676735252328 ,0.3665115477421579  ,11604.0
Butterfly sit-up                   ,0.2903732921740124  ,0.2848690482866917  ,0.2960944331098805  ,34310.0
Chest Press                        ,0.4157802612091019  ,0.2683350712547793  ,0.9228930065750148  ,6692.0
Crunch                             ,0.3893291391930313  ,0.4778025241276912  ,0.32850142915475705 ,9796.0
Dip                                ,0.3923537851295468  ,0.2886322716831192  ,0.612435779212225   ,7591.0
Dumbbell Deadlift Row              ,0.3324399715582782  ,0.3271259418729817  ,0.3379295007227844  ,8993.0
Dumbbell Row (both)                ,0.011409942950285249,0.036138358286009295,0.006774412077808961,10333.0
Dumbbell Row (right)               ,0.2968919800043469  ,0.2750704792589609  ,0.3224740321057601  ,2118.0
Dumbbell Squat (hands at side)     ,0.16799731774271287 ,0.0937781468960919  ,0.8054857831809504  ,9953.0
Elliptical machine                 ,0.7622548323919276  ,0.7119565217391305  ,0.8202003542850161  ,32742.0
Punches                            ,0.7755427205735909  ,0.7807779708595107  ,0.7703772091796359  ,7582.0
Jump Rope                          ,0.4967713359908619  ,0.4352177109713259  ,0.5786043985881075  ,18415.0
Jumping Jacks                      ,0.648220570981619   ,0.5011337868480725  ,0.9175200664267922  ,3613.0
Kettlebell Swing                   ,0.4083447332421341  ,0.2916819347746427  ,0.6805357651752636  ,7018.0
Lateral Raise                      ,0.2273760330578513  ,0.1782330553081221  ,0.3139352446156041  ,7011.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                 ,721.0
Lawnmower (right)                  ,0.08814589665653498 ,0.07168922895821071 ,0.11440916776253993 ,5323.0
Lunge (both legs)                  ,0.11466304932046785 ,0.08653326122228233 ,0.16989002654531665 ,13185.0
Ball Slam                          ,0.13395890632583726 ,0.10831080491846168 ,0.17552289429055964 ,7076.0
Triceps Extension (standing - both),0.5480065443899078  ,0.4560372626298818  ,0.6864415920612663  ,9271.0
Plank                              ,0.11534452078373572 ,0.061704346202131076,0.882577725012985   ,26954.0
Power Boat pose                    ,0.18065294428108272 ,0.10097136475694812 ,0.8567852672984088  ,5593.0
Pushups                            ,0.4442457926852968  ,0.357254485215978   ,0.5872379778051788  ,9732.0
Rowing machine                     ,0.4922986600359166  ,0.533575385536757   ,0.456949608924221   ,31196.0
Running                            ,0.7468141380139457  ,0.7182979160778066  ,0.7776881346501601  ,35945.0
Russian Twist                      ,0.3101849683914774  ,0.2930973451327434  ,0.3293883639980109  ,10055.0
Seated Back Fly                    ,0.09551833408782257 ,0.290633608815427   ,0.05715059588299025 ,7384.0
Shoulder Press                     ,0.3816712167442856  ,0.3356873822975518  ,0.4422528222304925  ,8061.0
Squat                              ,0.02835439229843562 ,0.1099606241796704  ,0.016275606018088803,46327.0
Triceps Kickback                   ,0.3757557882318242  ,0.521418826739427   ,0.2937062937062937  ,13013.0
Triceps extension (lying)          ,0.39942074776198    ,0.404317697228145   ,0.3946409989594173  ,7688.0
Dumbbell Curl                      ,0.2992139439507861  ,0.2766629799336388  ,0.32576744186046513 ,10750.0
V-up                               ,0.4207703333795719  ,0.3975187838546217  ,0.4469109124840389  ,10181.0
Walk                               ,0.5139636177299512  ,0.38051579554705467 ,0.7915687015997764  ,60821.0
Walking lunge                      ,0.3328649053775529  ,0.21620470380624945 ,0.7229626615118527  ,9829.0
Wall Ball                          ,0.5526633894753807  ,0.4898571428571429  ,0.6339434276206323  ,5409.0
Wall Squat                         ,0.05984261962177941 ,0.049188879036044034,0.07638720129607128 ,12345.0
accuracy                           ,0.3200586570356425  ,0.3200586570356425  ,0.3200586570356425  ,0.3200586570356425
macro avg                          ,0.3315557832992587  ,0.3147654982839646  ,0.44713228424452495 ,1405458.0
weighted avg                       ,0.3411340874826501  ,0.5784277224380359  ,0.3200586570356425  ,1405458.0
