Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.3327313045598016  ,0.7508998543871992  ,0.21371537135320198  ,859007.0
Band Pull-Down Row                 ,0.35163190872533434 ,0.398981324278438   ,0.3143287075739843   ,5981.0
Bicep Curl                         ,0.4457824961707072  ,0.3681570338058888  ,0.5648885616759253   ,14941.0
Box Jump (on bench)                ,0.048534798534798536,0.040458015267175566,0.06064073226544622  ,874.0
Burpee                             ,0.2928047858528087  ,0.23667570009033426 ,0.3838331609789728   ,11604.0
Butterfly sit-up                   ,0.3312642496606439  ,0.3022679718126939  ,0.3664139941690962   ,34300.0
Chest Press                        ,0.4235357734293149  ,0.2737200768827538  ,0.9356428251455876   ,6697.0
Crunch                             ,0.4281795365668593  ,0.5000681663258351  ,0.3743621147172893   ,9798.0
Dip                                ,0.4257077010044789  ,0.3177539759818241  ,0.6447576396206534   ,7592.0
Dumbbell Deadlift Row              ,0.3693181818181818  ,0.3450772200772201  ,0.3972222222222222   ,9000.0
Dumbbell Row (both)                ,0.009374006990784872,0.02616407982261641 ,0.0057098616084389825,10333.0
Dumbbell Row (right)               ,0.29916785061903794 ,0.26255789098681864 ,0.3476415094339623   ,2120.0
Dumbbell Squat (hands at side)     ,0.1719189645469893  ,0.09634067946680898 ,0.7977302400321382   ,9957.0
Elliptical machine                 ,0.7191187811940691  ,0.6867322550163971  ,0.7547112183500809   ,32741.0
Punches                            ,0.7913669064748201  ,0.8158410299468234  ,0.7683183974696891   ,7588.0
Jump Rope                          ,0.5056162211652263  ,0.42929733419286337 ,0.6149375339489408   ,18410.0
Jumping Jacks                      ,0.6498972301066849  ,0.502725620835857   ,0.9189039579296984   ,3613.0
Kettlebell Swing                   ,0.4694485842026826  ,0.3485959330474478  ,0.7185628742514971   ,7014.0
Lateral Raise                      ,0.2507              ,0.19302433015090853 ,0.3575299486594409   ,7012.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.11145471757652256 ,0.0839034587609274  ,0.16594625070475474  ,5321.0
Lunge (both legs)                  ,0.11817711030554115 ,0.08973300302780071 ,0.17302297369019634  ,13189.0
Ball Slam                          ,0.15639374425023    ,0.13184682501211828 ,0.192171824219302    ,7077.0
Triceps Extension (standing - both),0.5738308845837127  ,0.4794669370609112  ,0.7144398877617095   ,9266.0
Plank                              ,0.1181982089969684  ,0.06336346306252276 ,0.8781447124304267   ,26950.0
Power Boat pose                    ,0.17193358328869845 ,0.09549403038356273 ,0.8616678596993558   ,5588.0
Pushups                            ,0.4539622936712822  ,0.3666982622432859  ,0.595729391232933    ,9741.0
Rowing machine                     ,0.547545683731813   ,0.5633349155760493  ,0.5326174066356788   ,31195.0
Running                            ,0.7757409351530324  ,0.7514667918329031  ,0.8016356505048821   ,35949.0
Russian Twist                      ,0.33311837862736066 ,0.30996056917538145 ,0.36001592990840303  ,10044.0
Seated Back Fly                    ,0.12493233733896288 ,0.31222943722943725 ,0.07808905129246177  ,7389.0
Shoulder Press                     ,0.3731444759206799  ,0.3436293436293436  ,0.40820627246807983  ,8067.0
Squat                              ,0.033743661281505084,0.13348247576435496 ,0.019312934271287385 ,46342.0
Triceps Kickback                   ,0.399921410678324   ,0.5535762850149578  ,0.3130334486735871   ,13005.0
Triceps extension (lying)          ,0.4269838175082862  ,0.42656797818465136 ,0.4274004683840749   ,7686.0
Dumbbell Curl                      ,0.30376752829869913 ,0.2782635610926256  ,0.3344183018692458   ,10753.0
V-up                               ,0.4841822061415715  ,0.4588131868131869  ,0.5125208681135225   ,10183.0
Walk                               ,0.5130563641174913  ,0.3782925287401176  ,0.7969713411927194   ,60819.0
Walking lunge                      ,0.3450965910402289  ,0.2231641791044776  ,0.7607611682100336   ,9827.0
Wall Ball                          ,0.5924561544005766  ,0.5229007633587787  ,0.6833548863846296   ,5413.0
Wall Squat                         ,0.06320975016794089 ,0.052244725292158005,0.08                 ,12350.0
accuracy                           ,0.3322029773945414  ,0.3322029773945414  ,0.3322029773945414   ,0.3322029773945414
macro avg                          ,0.3496816858220159  ,0.329604175920377   ,0.4690075975378914   ,1405457.0
weighted avg                       ,0.35425363482443034 ,0.5983093954689388  ,0.3322029773945414   ,1405457.0
