Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.3443055825495044   ,0.7702649684311005  ,0.2217030005425052  ,858978.0
Band Pull-Down Row                 ,0.3877659574468085   ,0.4125636672325976  ,0.3657802308078274  ,5979.0
Bicep Curl                         ,0.4746216686755056   ,0.395783078709908   ,0.5926817847347648  ,14949.0
Box Jump (on bench)                ,0.05625270445694505  ,0.04526462395543175 ,0.07428571428571429 ,875.0
Burpee                             ,0.3091221803267845   ,0.2508858584773972  ,0.4025671950379049  ,11608.0
Butterfly sit-up                   ,0.34479435638304445  ,0.2991788340730259  ,0.4068221574344023  ,34300.0
Chest Press                        ,0.427817680498349    ,0.27703566547634795 ,0.9387511204063341  ,6694.0
Crunch                             ,0.4492110730529508   ,0.4993757802746567  ,0.4082049188692724  ,9799.0
Dip                                ,0.4457031595716435   ,0.33566620009331466 ,0.6630678077682686  ,7595.0
Dumbbell Deadlift Row              ,0.3964744396877361   ,0.362364205487019   ,0.43767374624708105 ,8993.0
Dumbbell Row (both)                ,0.0077783951107230735,0.021643109540636044,0.004741170778906628,10335.0
Dumbbell Row (right)               ,0.2736459175424414   ,0.23947647683056245 ,0.3191890617633192  ,2121.0
Dumbbell Squat (hands at side)     ,0.17631963984243107  ,0.09928889226908012 ,0.7865247514810724  ,9959.0
Elliptical machine                 ,0.6953894928890817   ,0.6812987165211276  ,0.7100754359710473  ,32743.0
Punches                            ,0.7967914438502675   ,0.8297872340425532  ,0.7663193986548861  ,7583.0
Jump Rope                          ,0.4904490362307842   ,0.4081706304810711  ,0.614273300021725   ,18412.0
Jumping Jacks                      ,0.6684136262850232   ,0.5256816740646798  ,0.9175428887659104  ,3614.0
Kettlebell Swing                   ,0.5439851752715292   ,0.4258886112678327  ,0.7527065527065527  ,7020.0
Lateral Raise                      ,0.272789248149591    ,0.2071898809083512  ,0.3991734359412855  ,7017.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                 ,721.0
Lawnmower (right)                  ,0.12172673831720207  ,0.08896797153024913 ,0.1926691729323308  ,5320.0
Lunge (both legs)                  ,0.12788146312501614  ,0.0969509569846178  ,0.18779378316906747 ,13190.0
Ball Slam                          ,0.1783048398747893   ,0.15535508234553655 ,0.20921034044356548 ,7079.0
Triceps Extension (standing - both),0.5962303756505009   ,0.5015450264861684  ,0.7349865229110513  ,9275.0
Plank                              ,0.11979108451119262  ,0.0642977911098991  ,0.8748144850103888  ,26952.0
Power Boat pose                    ,0.17248239152642614  ,0.09583939134418132 ,0.8611309949892627  ,5588.0
Pushups                            ,0.4566539774734116   ,0.3696080299853885  ,0.5973305954825462  ,9740.0
Rowing machine                     ,0.6002813569076318   ,0.5985780781738188  ,0.6019943568038989  ,31188.0
Running                            ,0.7457513984006835   ,0.7169883971660335  ,0.7769185836277155  ,35951.0
Russian Twist                      ,0.3588075880758808   ,0.3285088082044496  ,0.3952632102696786  ,10049.0
Seated Back Fly                    ,0.15244596131968144  ,0.3228208497590889  ,0.09978337395071757 ,7386.0
Shoulder Press                     ,0.3670648863902553   ,0.3478743478743479  ,0.3884963431263171  ,8067.0
Squat                              ,0.036227618812539164 ,0.15071090047393365 ,0.020588298767723414,46337.0
Triceps Kickback                   ,0.4258664161763978   ,0.5965373961218836  ,0.33112939186591833 ,13007.0
Triceps extension (lying)          ,0.4447423865159931   ,0.4367945823927765  ,0.4529847834568865  ,7689.0
Dumbbell Curl                      ,0.3049312311304931   ,0.27766323024054984 ,0.3381381939923742  ,10753.0
V-up                               ,0.541252882759919    ,0.5195626637751874  ,0.5648330058939096  ,10180.0
Walk                               ,0.5148235046002161   ,0.37892040824246187 ,0.8027293653403486  ,60820.0
Walking lunge                      ,0.34949338906810845  ,0.22502413480384986 ,0.7821047280122013  ,9835.0
Wall Ball                          ,0.5975628567021442   ,0.5123660891416479  ,0.7167437557816836  ,5405.0
Wall Squat                         ,0.06884561891515995  ,0.056462902473168465,0.08818527816017491 ,12349.0
accuracy                           ,0.34147518063545257  ,0.34147518063545257 ,0.34147518063545257 ,0.34147518063545257
macro avg                          ,0.3620194815627997   ,0.33971183284794954 ,0.4829246886879643  ,1405455.0
weighted avg                       ,0.3646494008227037   ,0.6128857577917124  ,0.34147518063545257 ,1405455.0
