Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.4891731891087399  ,0.8534771570661813 ,0.34283512379568704 ,858996.0
Band Pull-Down Row                 ,0.4170888213441405  ,0.4212860310421286 ,0.41297441899347936 ,5981.0
Bicep Curl                         ,0.5485600674780094  ,0.4987674609695974 ,0.6093969613814336  ,14941.0
Box Jump (on bench)                ,0.1320066334991708  ,0.0929472209248015 ,0.2276887871853547  ,874.0
Burpee                             ,0.4511619528012971  ,0.38765401523125503,0.5395553257497415  ,11604.0
Butterfly sit-up                   ,0.4730308934038408  ,0.38262044124268346,0.6193877551020408  ,34300.0
Chest Press                        ,0.446719674690484   ,0.2951165691259714 ,0.9186202777362998  ,6697.0
Crunch                             ,0.5196160472557224  ,0.5018541409147095 ,0.5386813635435803  ,9798.0
Dip                                ,0.4301219032638616  ,0.30659266733938784,0.7203635405690201  ,7592.0
Dumbbell Deadlift Row              ,0.3670236013986014  ,0.36102751504729147,0.37322222222222223 ,9000.0
Dumbbell Row (both)                ,0.12445467184428785 ,0.12331369941098233,0.1256169553856576  ,10333.0
Dumbbell Row (right)               ,0.2074342701722575  ,0.16848306332842414,0.269811320754717   ,2120.0
Dumbbell Squat (hands at side)     ,0.2188140115328341  ,0.13203706011882504,0.6383448829968866  ,9957.0
Elliptical machine                 ,0.7101674081011473  ,0.6816968675375755 ,0.7411196970159739  ,32741.0
Punches                            ,0.8211068211068211  ,0.8447386759581882 ,0.7987612018977333  ,7588.0
Jump Rope                          ,0.5326860841423948  ,0.4243635191749919 ,0.7152634437805541  ,18410.0
Jumping Jacks                      ,0.6813164139069431  ,0.5430921052631579 ,0.913921948519236   ,3613.0
Kettlebell Swing                   ,0.4984429065743944  ,0.3577548739600149 ,0.8214998574280011  ,7014.0
Lateral Raise                      ,0.3721116959586047  ,0.2707386732441906 ,0.5948374215630348  ,7012.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,721.0
Lawnmower (right)                  ,0.18280716723549487 ,0.12761521852430946,0.32211990227400866 ,5321.0
Lunge (both legs)                  ,0.1884631941455015  ,0.13158606594331398,0.3319432860717265  ,13189.0
Ball Slam                          ,0.4302437846970794  ,0.3754607688256977 ,0.5037445245160379  ,7077.0
Triceps Extension (standing - both),0.708461835003855   ,0.6399965174995647 ,0.793330455428448   ,9266.0
Plank                              ,0.15282366660188246 ,0.08429624865038708,0.8169573283858999  ,26950.0
Power Boat pose                    ,0.1895774818646568  ,0.10685405799412316,0.8394774516821761  ,5588.0
Pushups                            ,0.33688579367591714 ,0.2562332798287855 ,0.4916333025356739  ,9741.0
Rowing machine                     ,0.6781337958092856  ,0.6092309264131185 ,0.7646097130950473  ,31195.0
Running                            ,0.7694939982757477  ,0.7353850834051615 ,0.8069209157417453  ,35949.0
Russian Twist                      ,0.37400049460061    ,0.319102546068364  ,0.4517124651533254  ,10044.0
Seated Back Fly                    ,0.19480261852806985 ,0.3646490902339398 ,0.1329002571389904  ,7389.0
Shoulder Press                     ,0.4287850224273548  ,0.4507927829414981 ,0.4088260815668774  ,8067.0
Squat                              ,0.024227619486214283,0.16800888642043876,0.013055111993440076,46342.0
Triceps Kickback                   ,0.4634610439701722  ,0.6996894409937888 ,0.34648212226066905 ,13005.0
Triceps extension (lying)          ,0.6678304239401496  ,0.6411299976059373 ,0.6968514181628935  ,7686.0
Dumbbell Curl                      ,0.4492711248485861  ,0.4077949651198059 ,0.5001394959546173  ,10753.0
V-up                               ,0.6916097652230849  ,0.6602375212072507 ,0.7261121476971423  ,10183.0
Walk                               ,0.5722472909324463  ,0.4295285421147618 ,0.8570019237409362  ,60819.0
Walking lunge                      ,0.3500211416490487  ,0.22091161400512385,0.8422873422873423  ,9828.0
Wall Ball                          ,0.6745074079731175  ,0.5741776101937329 ,0.8173237090505275  ,5403.0
Wall Squat                         ,0.17225660223597422 ,0.12564550284207007,0.27384615384615385 ,12350.0
accuracy                           ,0.4415751115133585  ,0.4415751115133585 ,0.4415751115133585  ,0.4415751115133585
macro avg                          ,0.4180719107489708  ,0.3847777664324764 ,0.5526628686391302  ,1405437.0
weighted avg                       ,0.4739074339050983  ,0.6804651806282325 ,0.4415751115133585  ,1405437.0
