Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.4984474441940838 ,0.8526279890415901 ,0.3521604546634552  ,859009.0
Band Pull-Down Row                 ,0.4140677966101696 ,0.4200481430536451 ,0.4082553475935829  ,5984.0
Bicep Curl                         ,0.5570058842856717 ,0.502885497006634  ,0.6241799437675727  ,14938.0
Box Jump (on bench)                ,0.15697074010327022,0.1123152709359606 ,0.26057142857142856 ,875.0
Burpee                             ,0.4507176332747511 ,0.3919633191109979 ,0.5301920923421484  ,11609.0
Butterfly sit-up                   ,0.4733330377726547 ,0.3819037058234369 ,0.6223187223128934  ,34312.0
Chest Press                        ,0.4528510795349696 ,0.30073529411764705,0.9163554891710232  ,6695.0
Crunch                             ,0.5126845133850387 ,0.5026984594249828 ,0.5230753522564836  ,9794.0
Dip                                ,0.4248777078965759 ,0.3012386457473163 ,0.7206637692611616  ,7593.0
Dumbbell Deadlift Row              ,0.3668800963169704 ,0.3612847596464756 ,0.3726514730405781  ,8995.0
Dumbbell Row (both)                ,0.13569498649054335,0.12187042600724135,0.15305727554179566 ,10336.0
Dumbbell Row (right)               ,0.20526120785476104,0.16885096007314845,0.2616910722720832  ,2117.0
Dumbbell Squat (hands at side)     ,0.2272969251950436 ,0.13906734354643066,0.6217736265943558  ,9957.0
Elliptical machine                 ,0.702735205690401  ,0.6759013710997009 ,0.7317877760469165  ,32739.0
Punches                            ,0.8212475501790905 ,0.8423679467627894 ,0.8011603375527426  ,7584.0
Jump Rope                          ,0.5324507587988376 ,0.423662406063331  ,0.7164114260888454  ,18414.0
Jumping Jacks                      ,0.6798232089628943 ,0.5406244891286578 ,0.9155592469545958  ,3612.0
Kettlebell Swing                   ,0.4978199538343164 ,0.35558133854421103,0.8297235679680821  ,7018.0
Lateral Raise                      ,0.367441446255232  ,0.2671241745435711 ,0.5884198516828294  ,7012.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                 ,721.0
Lawnmower (right)                  ,0.1684486584627799 ,0.11511684014613635,0.31385077992858484 ,5321.0
Lunge (both legs)                  ,0.2012731894867324 ,0.13919158457559644,0.3633191747572816  ,13184.0
Ball Slam                          ,0.428769853252008  ,0.3743935878506644 ,0.5016249823371485  ,7077.0
Triceps Extension (standing - both),0.7065677966101694 ,0.6379445265629076 ,0.7917341102838027  ,9267.0
Plank                              ,0.1554600220807759 ,0.08595396893315171,0.8124072425051945  ,26952.0
Power Boat pose                    ,0.1930037678354506 ,0.10905325856813793,0.8384615384615385  ,5590.0
Pushups                            ,0.32544728157026226,0.2458534537056477 ,0.481249357854721   ,9733.0
Rowing machine                     ,0.6622499859936131 ,0.5880553206308143 ,0.7578701032249792  ,31194.0
Running                            ,0.7655804453639969 ,0.7316096324461343 ,0.8028596066649977  ,35949.0
Russian Twist                      ,0.3813438324752304 ,0.33739090491502066,0.4384638344443339  ,10051.0
Seated Back Fly                    ,0.1817271087958325 ,0.3499228395061729 ,0.12273342354533152 ,7390.0
Shoulder Press                     ,0.4341245715024902 ,0.4535748074064063 ,0.4162738774497644  ,8062.0
Squat                              ,0.02050371327090733,0.15766604593420236,0.010964817612777898,46330.0
Triceps Kickback                   ,0.4729903042117684 ,0.7113099830273106 ,0.3542883492161082  ,13012.0
Triceps extension (lying)          ,0.6815621479534361 ,0.6568946796959826 ,0.7081545064377682  ,7689.0
Dumbbell Curl                      ,0.4549505580783432 ,0.4182924925862338 ,0.4986510373057959  ,10749.0
V-up                               ,0.6813994603145064 ,0.6473656294200849 ,0.7192103712433706  ,10182.0
Walk                               ,0.5797703287819895 ,0.4370747589431064 ,0.86080465628648    ,60821.0
Walking lunge                      ,0.3516051912568306 ,0.2224683287863645 ,0.8380991146840338  ,9827.0
Wall Ball                          ,0.6661028676866303 ,0.5693257983966356 ,0.8025194516487588  ,5398.0
Wall Squat                         ,0.1796749234044763 ,0.13220235366040042,0.2803435423756279  ,12342.0
accuracy                           ,0.4470640385816765 ,0.4470640385816765 ,0.4470640385816765  ,0.4470640385816765
macro avg                          ,0.41878446792740254,0.3849612764725581 ,0.5527778568768531  ,1405434.0
weighted avg                       ,0.4795338188559048 ,0.6795680056233997 ,0.4470640385816765  ,1405434.0
