Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.008916238179054693 ,0.5645751060406611   ,0.004493602437255457 ,858999.0
Band Pull-Down Row                 ,0.023744113029827315 ,0.016800888642043876 ,0.04046822742474916  ,5980.0
Bicep Curl                         ,0.1413750959270102   ,0.12285121517486662  ,0.16647700649307182  ,14939.0
Box Jump (on bench)                ,0.007736943907156673 ,0.004117344312918168 ,0.064                ,875.0
Burpee                             ,0.0775235420452668   ,0.05098465299470325  ,0.16168489964682572  ,11609.0
Butterfly sit-up                   ,0.0070377630304891015,0.018539255941271617 ,0.004343263569054976 ,34306.0
Chest Press                        ,0.04063237919714335  ,0.02248426420205561  ,0.2106913543377632   ,6697.0
Crunch                             ,0.032789271612351484 ,0.019950842541130626 ,0.09197631686402613  ,9796.0
Dip                                ,0.06539928632951889  ,0.04266506120810756  ,0.1399973659949954   ,7593.0
Dumbbell Deadlift Row              ,0.02814569536423841  ,0.022424482258277274 ,0.03778617470549011  ,8998.0
Dumbbell Row (both)                ,0.02031345766570353  ,0.01855257896841264  ,0.022443649027764342 ,10337.0
Dumbbell Row (right)               ,0.02695301239550303  ,0.015902712815715626 ,0.08833254605573926  ,2117.0
Dumbbell Squat (hands at side)     ,0.1089815620796075   ,0.0646864314432796   ,0.3457174415101918   ,9959.0
Elliptical machine                 ,0.15601503759398494  ,0.291788733573282    ,0.10647200757460064  ,32741.0
Punches                            ,0.34415064102564097  ,0.2471800184162063   ,0.5663238396624473   ,7584.0
Jump Rope                          ,0.35835894433874826  ,0.3252889341540097   ,0.3989139288623405   ,18415.0
Jumping Jacks                      ,0.4943711022920547   ,0.3493989696622782   ,0.8449612403100775   ,3612.0
Kettlebell Swing                   ,0.11122977936388027  ,0.06804997768853191  ,0.3043478260869565   ,7015.0
Lateral Raise                      ,0.04875263214247475  ,0.03251451966104922  ,0.09739056038785113  ,7013.0
Lawnmower (both)                   ,0.001521838380763963 ,0.0007824113919098662,0.027700831024930747 ,722.0
Lawnmower (right)                  ,0.020820423844342545 ,0.015529672767609541 ,0.03157894736842105  ,5320.0
Lunge (both legs)                  ,0.04692702821300431  ,0.03557312252964427  ,0.06892629663330299  ,13188.0
Ball Slam                          ,0.0458516146883276   ,0.03182616330114135  ,0.08197879858657244  ,7075.0
Triceps Extension (standing - both),0.05658613393691876  ,0.05200325585601881  ,0.062054824088063884 ,9266.0
Plank                              ,0.1074455155617364   ,0.057387109917725575 ,0.8413475808845354   ,26952.0
Power Boat pose                    ,0.04648439786897722  ,0.02531242030094364  ,0.2841803865425913   ,5588.0
Pushups                            ,0.06332833583208396  ,0.04473059979667909  ,0.1083966331348799   ,9742.0
Rowing machine                     ,0.06214333962220204  ,0.11364798091668088  ,0.042763263343484535 ,31195.0
Running                            ,0.44402675175940903  ,0.4662056726738672   ,0.42386224546567264  ,35948.0
Russian Twist                      ,0.06114912846998063  ,0.041291762572365207 ,0.11779922395781516  ,10051.0
Seated Back Fly                    ,0.008671303405293108 ,0.0130328536519142   ,0.006497022198159177 ,7388.0
Shoulder Press                     ,0.027550038171739632 ,0.018809772016498208 ,0.05146329365079365  ,8064.0
Squat                              ,0.005371430702948692 ,0.01978565539983512  ,0.0031075336109972164,46339.0
Triceps Kickback                   ,0.013070459662804108 ,0.02287581699346405  ,0.009148919812408705 ,13007.0
Triceps extension (lying)          ,0.06796038328367822  ,0.0428151104196963   ,0.16467221644120708  ,7688.0
Dumbbell Curl                      ,0.07043710972346119  ,0.05714120303363631  ,0.091796875          ,10752.0
V-up                               ,0.06170810581561788  ,0.04226119159132992  ,0.1143081606599234   ,10183.0
Walk                               ,0.2560634265893477   ,0.2160012652793782   ,0.31437027293653397  ,60820.0
Walking lunge                      ,0.05114984619891607  ,0.035912624953720836 ,0.08884591899043355  ,9826.0
Wall Ball                          ,0.050801348394346205 ,0.030242219405717505 ,0.15866272626523828  ,5414.0
Wall Squat                         ,0.029499931016317774 ,0.017452732183669228 ,0.09524580869846927  ,12347.0
accuracy                           ,0.07737182132540238  ,0.07737182132540238  ,0.07737182132540238  ,0.07737182132540238
macro avg                          ,0.09026815582102128  ,0.09022869772322548  ,0.1679397324450155   ,1405460.0
weighted avg                       ,0.05277842612346911  ,0.3913821953995865   ,0.07737182132540238  ,1405460.0
