Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.014118112418258562 ,0.5777882352941176   ,0.007146366051327182,859038.0
Band Pull-Down Row                 ,0.022694797007648992 ,0.015158320233550416 ,0.04513540621865597 ,5982.0
Bicep Curl                         ,0.19864655721785573  ,0.1817121918720853   ,0.21906164246034399 ,14941.0
Box Jump (on bench)                ,0.01007152240548825  ,0.0053796974894745045,0.07876712328767123 ,876.0
Burpee                             ,0.07654037504783773  ,0.05080870522482852  ,0.15507883173946754 ,11607.0
Butterfly sit-up                   ,0.00944807121661721  ,0.025476891563180133 ,0.00579938217637116 ,34314.0
Chest Press                        ,0.04649577504793012  ,0.025689714698220397 ,0.24458389362020025 ,6693.0
Crunch                             ,0.046925799580390455 ,0.027827375299168032 ,0.1495966506688451  ,9793.0
Dip                                ,0.0746449163268176   ,0.04745217235830503  ,0.17483530961791832 ,7590.0
Dumbbell Deadlift Row              ,0.03469610578672814  ,0.027264061010486174 ,0.04769846564376251 ,8994.0
Dumbbell Row (both)                ,0.02512562814070352  ,0.021144442976080348 ,0.030953762816792418,10338.0
Dumbbell Row (right)               ,0.0234978180597516   ,0.013079222720478326 ,0.11551155115511552 ,2121.0
Dumbbell Squat (hands at side)     ,0.11892084832981352  ,0.069793830630379    ,0.4016072325464591  ,9955.0
Elliptical machine                 ,0.16876749132430313  ,0.3160852063066085   ,0.11511560428820132 ,32741.0
Punches                            ,0.3481909587522761   ,0.2487275195113675   ,0.5802110817941952  ,7580.0
Jump Rope                          ,0.3776375567895003   ,0.35274424745379107  ,0.4063111014555725  ,18412.0
Jumping Jacks                      ,0.5088339222614842   ,0.35522420787194386  ,0.8965135583840621  ,3614.0
Kettlebell Swing                   ,0.1489416402433799   ,0.09315704841879577  ,0.3712617487895187  ,7022.0
Lateral Raise                      ,0.06389679377727188  ,0.04352320893207898  ,0.12013125980881725 ,7009.0
Lawnmower (both)                   ,0.0014354281613062395,0.0007416678255226442,0.022222222222222227,720.0
Lawnmower (right)                  ,0.023924239906961287 ,0.016958467457014997 ,0.0406015037593985  ,5320.0
Lunge (both legs)                  ,0.05976822468330036  ,0.0451931297116655   ,0.08821967685655767 ,13183.0
Ball Slam                          ,0.05322783672001438  ,0.039026962884830915 ,0.08367491166077738 ,7075.0
Triceps Extension (standing - both),0.0838449731389102   ,0.07550103662750518  ,0.0942622950819672  ,9272.0
Plank                              ,0.10949471182127037  ,0.05853555851630509  ,0.8459597833345699  ,26954.0
Power Boat pose                    ,0.054241238658120375 ,0.02990252767222865  ,0.2915175375805297  ,5588.0
Pushups                            ,0.0725449719846653   ,0.050879007238883146 ,0.1263482280431433  ,9735.0
Rowing machine                     ,0.08078170028818442  ,0.13566243194192376  ,0.0575147473711208  ,31192.0
Running                            ,0.4295639915416373   ,0.4448251206578085   ,0.415315290256182   ,35951.0
Russian Twist                      ,0.07368734276516893  ,0.05059059505237352  ,0.13558984569437532 ,10045.0
Seated Back Fly                    ,0.007002528690916164 ,0.01243953006219765  ,0.004872766648619383,7388.0
Shoulder Press                     ,0.03204343076566586  ,0.0218529889832039   ,0.06004217838977794 ,8061.0
Squat                              ,0.012115007251940962 ,0.028915858923189708 ,0.007662752547055777,46328.0
Triceps Kickback                   ,0.025183412248295955 ,0.03895685769478429  ,0.01860536634120089 ,13007.0
Triceps extension (lying)          ,0.0842823931020276   ,0.054459022627876025 ,0.1863127764767109  ,7686.0
Dumbbell Curl                      ,0.08279865566758325  ,0.061649756585831925 ,0.12603478746163144 ,10751.0
V-up                               ,0.07604072689779612  ,0.05153918725322338  ,0.1449488993710692  ,10176.0
Walk                               ,0.2784136241359589   ,0.2439766863422059   ,0.3241696810259783  ,60820.0
Walking lunge                      ,0.06254410161010969  ,0.04567386518011898  ,0.09917607567897467 ,9831.0
Wall Ball                          ,0.07466166268622768  ,0.044118141191492224 ,0.242653853261874   ,5411.0
Wall Squat                         ,0.029879505351651688 ,0.017847570396998073 ,0.09169704333738356 ,12345.0
accuracy                           ,0.0844080119021615   ,0.0844080119021615   ,0.0844080119021615  ,0.0844080119021615
macro avg                          ,0.10062376580028706  ,0.09920200660224687  ,0.18713956572986384 ,1405459.0
weighted avg                       ,0.060202465019681475 ,0.4039113283142381   ,0.0844080119021615  ,1405459.0
