Unnamed: 0                         ,f1-score            ,precision            ,recall              ,support
Noise                              ,0.03647439093465203 ,0.6316716920546658   ,0.018779380982427873,858974.0
Band Pull-Down Row                 ,0.017107358037024317,0.010518234165067178 ,0.04579642319906402 ,5983.0
Bicep Curl                         ,0.33995439270283245 ,0.30816515258662897  ,0.3790565406490465  ,14945.0
Box Jump (on bench)                ,0.02360011726766344 ,0.012608661602318114 ,0.184               ,875.0
Burpee                             ,0.08060243225766077 ,0.053180654573481236 ,0.16640826873385012 ,11610.0
Butterfly sit-up                   ,0.041996598040940816,0.06372752625645285  ,0.031317431620691664,34294.0
Chest Press                        ,0.07134815412276722 ,0.04019539163526895  ,0.3171496862862265  ,6694.0
Crunch                             ,0.08644657436989706 ,0.05020782476743419  ,0.3107073593957334  ,9797.0
Dip                                ,0.10335831515036524 ,0.0630278838366308   ,0.28701264488935724 ,7592.0
Dumbbell Deadlift Row              ,0.054058106841612004,0.040778236525083424 ,0.08016455414720924 ,8994.0
Dumbbell Row (both)                ,0.0333400551186395  ,0.02554199495339616  ,0.047992259313014034,10335.0
Dumbbell Row (right)               ,0.021329702745631948,0.0114526403731681   ,0.15504241281809614 ,2122.0
Dumbbell Squat (hands at side)     ,0.16137267340213202 ,0.09538529072851316  ,0.5235943775100401  ,9960.0
Elliptical machine                 ,0.15165269212112814 ,0.1751991354120802   ,0.13368559298738586 ,32741.0
Punches                            ,0.3620808498560597  ,0.2614015572858732   ,0.5888947507254023  ,7582.0
Jump Rope                          ,0.4190811007394836  ,0.474113694027292    ,0.375495573779395   ,18413.0
Jumping Jacks                      ,0.5544351392924287  ,0.401137628292321    ,0.8973720608575381  ,3615.0
Kettlebell Swing                   ,0.3017409521057575  ,0.20212920396806194  ,0.5949294972226179  ,7021.0
Lateral Raise                      ,0.09715717960556693 ,0.06319718551570276  ,0.2100085543199316  ,7014.0
Lawnmower (both)                   ,0.010102062070402   ,0.0052480657901855755,0.13453536754507628 ,721.0
Lawnmower (right)                  ,0.037746265051926985,0.023117234384244786 ,0.10280022552151853 ,5321.0
Lunge (both legs)                  ,0.07645071250183635 ,0.062416042985991176 ,0.09862785232355394 ,13191.0
Ball Slam                          ,0.1644321228923329  ,0.12122227434162032  ,0.2555084745762712  ,7080.0
Triceps Extension (standing - both),0.1482405098365198  ,0.1296236472298498   ,0.17310181190681626 ,9272.0
Plank                              ,0.1168181818181818  ,0.06272641760387443  ,0.8486253849293214  ,26953.0
Power Boat pose                    ,0.06469439283502454 ,0.03731486824389306  ,0.2429772767937019  ,5589.0
Pushups                            ,0.11054972815640617 ,0.07544977511244377  ,0.20671595810227966 ,9738.0
Rowing machine                     ,0.18684438835870332 ,0.2426508245416368   ,0.15190766271240785 ,31190.0
Running                            ,0.4314256589485947  ,0.4527200488997555   ,0.4120445062586927  ,35950.0
Russian Twist                      ,0.18398194377949526 ,0.14019909313597748  ,0.2675285927399304  ,10055.0
Seated Back Fly                    ,0.03745281144446652 ,0.029563989962358844 ,0.0510840108401084  ,7380.0
Shoulder Press                     ,0.03879121987293691 ,0.02661561880160524  ,0.07149938042131351 ,8070.0
Squat                              ,0.012905316018251031,0.017232677193741438 ,0.010315062580923608,46340.0
Triceps Kickback                   ,0.04872319466545428 ,0.04803167251811459  ,0.04943491965864535 ,13007.0
Triceps extension (lying)          ,0.17471893041628686 ,0.14308228268082282  ,0.22431729518855656 ,7690.0
Dumbbell Curl                      ,0.13163678426836325 ,0.1124431855608985   ,0.15873163474056165 ,10754.0
V-up                               ,0.16367821317950612 ,0.11514012713389038  ,0.2829632540774219  ,10178.0
Walk                               ,0.3301737301564436  ,0.293785890073831    ,0.37684972048668197 ,60820.0
Walking lunge                      ,0.12876274726624892 ,0.10779674963999177  ,0.15985356924954242 ,9834.0
Wall Ball                          ,0.13895384221147378 ,0.08402742804013481  ,0.4012208657047725  ,5406.0
Wall Squat                         ,0.030785285677015394,0.018749337947106388 ,0.0859779792746114  ,12352.0
accuracy                           ,0.10953629152756553 ,0.10953629152756553  ,0.10953629152756553 ,0.10953629152756553
macro avg                          ,0.13963426405214913 ,0.13006821561905876  ,0.2466836140260911  ,1405452.0
weighted avg                       ,0.08821975716468655 ,0.44720569620370265  ,0.10953629152756553 ,1405452.0
