Unnamed: 0                         ,f1-score           ,precision          ,recall              ,support
Noise                              ,0.8194584825722772 ,0.7831021745264904 ,0.8593549002967408  ,858999.0
Band Pull-Down Row                 ,0.241242325749368  ,0.2621664050235479 ,0.2234113712374582  ,5980.0
Bicep Curl                         ,0.32881928230180685,0.3548062015503876 ,0.3063792757212665  ,14939.0
Box Jump (on bench)                ,0.03917727717923604,0.03427592116538132,0.045714285714285714,875.0
Burpee                             ,0.29190917288302315,0.2784424114473376 ,0.3067447669911276  ,11609.0
Butterfly sit-up                   ,0.3801704706602379 ,0.3895976747743613 ,0.3711887133446045  ,34306.0
Chest Press                        ,0.34511120436424675,0.39402069758528174,0.3070031357324175  ,6697.0
Crunch                             ,0.25236300376920845,0.29211974761712983,0.22213148223764806 ,9796.0
Dip                                ,0.3767487409065473 ,0.40176040578845296,0.3546687738706704  ,7593.0
Dumbbell Deadlift Row              ,0.23900709219858154,0.2552385761171421 ,0.22471660368970886 ,8998.0
Dumbbell Row (both)                ,0.16291991639904166,0.17219827586206896,0.1545903066653768  ,10337.0
Dumbbell Row (right)               ,0.07936098943571243,0.0873015873015873 ,0.07274444969296172 ,2117.0
Dumbbell Squat (hands at side)     ,0.32735961768219835,0.3776581779994749 ,0.28888442614720355 ,9959.0
Elliptical machine                 ,0.6654241090689447 ,0.7649182669417552 ,0.5888335725848325  ,32741.0
Punches                            ,0.6793697818475627 ,0.6941386901485966 ,0.6652162447257384  ,7584.0
Jump Rope                          ,0.5394641159031157 ,0.5562027798604302 ,0.523703502579419   ,18415.0
Jumping Jacks                      ,0.6691524451455615 ,0.6941386492115442 ,0.6459025470653378  ,3612.0
Kettlebell Swing                   ,0.5779225816461098 ,0.6339346494213751 ,0.5310049893086244  ,7015.0
Lateral Raise                      ,0.2412828076544891 ,0.2569265463917525 ,0.2274347640096963  ,7013.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                 ,722.0
Lawnmower (right)                  ,0.17705510388437215,0.1899633857419772 ,0.16578947368421051 ,5320.0
Lunge (both legs)                  ,0.20382642554944025,0.2013164706752459 ,0.20639975735517135 ,13188.0
Ball Slam                          ,0.2516317523466153 ,0.22458943630714606,0.2860777385159011  ,7075.0
Triceps Extension (standing - both),0.5329870703945188 ,0.5460824275362319 ,0.5205050723073602  ,9266.0
Plank                              ,0.6222562426298694 ,0.7032499415478138 ,0.5579919857524488  ,26952.0
Power Boat pose                    ,0.4504395271294331 ,0.5172893942910188 ,0.3988904795991409  ,5588.0
Pushups                            ,0.4440060869075129 ,0.4923134608173978 ,0.4043317593923219  ,9742.0
Rowing machine                     ,0.4529546424552826 ,0.5736327453196403 ,0.37422663888443664 ,31195.0
Running                            ,0.7085420413501983 ,0.7607481408189971 ,0.6630410593078891  ,35948.0
Russian Twist                      ,0.2673334082481177 ,0.3070866141732284 ,0.2366928663814546  ,10051.0
Seated Back Fly                    ,0.2305496596647881 ,0.25099601593625503,0.21318354087709804 ,7388.0
Shoulder Press                     ,0.4630083600477717 ,0.4694710006373487 ,0.4567212301587302  ,8064.0
Squat                              ,0.4821232123212321 ,0.5140134392180818 ,0.4539588683398434  ,46339.0
Triceps Kickback                   ,0.31914368052696584,0.34352565806966234,0.2979933881755977  ,13007.0
Triceps extension (lying)          ,0.3595959595959596 ,0.3871306434678266 ,0.3357180020811655  ,7688.0
Dumbbell Curl                      ,0.3492952212563234 ,0.3700697262982621 ,0.3307291666666667  ,10752.0
V-up                               ,0.3624247210978379 ,0.3643672456575682 ,0.3605027987822842  ,10183.0
Walk                               ,0.4149698623564339 ,0.529231789092578  ,0.3412857612627425  ,60820.0
Walking lunge                      ,0.2149449861813631 ,0.22040423484119345,0.20974964380215755 ,9826.0
Wall Ball                          ,0.4212675596210389 ,0.37759882869692535,0.4763575914296269  ,5414.0
Wall Squat                         ,0.15212465899107594,0.17726293103448276,0.13323074431035878 ,12347.0
accuracy                           ,0.6774977587409104 ,0.6774977587409104 ,0.6774977587409104  ,0.6774977587409104
macro avg                          ,0.3691888682908151 ,0.39520222851007264,0.3498294067971152  ,1405460.0
weighted avg                       ,0.666384688545924  ,0.6620777822874789 ,0.6774977587409104  ,1405460.0
