Unnamed: 0                         ,f1-score           ,precision           ,recall               ,support
Noise                              ,0.854857692028172  ,0.8002471512618524  ,0.9174676017117658   ,858996.0
Band Pull-Down Row                 ,0.28326976600350484,0.3693548387096775  ,0.2297274703226885   ,5981.0
Bicep Curl                         ,0.4295922946801533 ,0.4436047340653073  ,0.4164379894250719   ,14941.0
Box Jump (on bench)                ,0.0                ,0.0                 ,0.0                  ,874.0
Burpee                             ,0.4887380155052984 ,0.5225110348209907  ,0.45906583936573603  ,11604.0
Butterfly sit-up                   ,0.5663321093431253 ,0.6432252085264133  ,0.5058600583090379   ,34300.0
Chest Press                        ,0.4600503942127937 ,0.5048162682839814  ,0.4225772734060027   ,6697.0
Crunch                             ,0.3852285465188691 ,0.4940894568690096  ,0.3156766687078996   ,9798.0
Dip                                ,0.4065162158122852 ,0.4697754749568221  ,0.3582718651211802   ,7592.0
Dumbbell Deadlift Row              ,0.34675985531236586,0.3868143892764328  ,0.31422222222222224  ,9000.0
Dumbbell Row (both)                ,0.19230569544675769,0.20743727598566308 ,0.17923158811574566  ,10333.0
Dumbbell Row (right)               ,0.14718397997496874,0.1568              ,0.13867924528301884  ,2120.0
Dumbbell Squat (hands at side)     ,0.4654837293874224 ,0.6194926568758344  ,0.3728030531284524   ,9957.0
Elliptical machine                 ,0.5805201779960105 ,0.7802526424336169  ,0.4622033535933539   ,32741.0
Punches                            ,0.7029976423038059 ,0.7190299021634284  ,0.687664733790195    ,7588.0
Jump Rope                          ,0.61840714201809   ,0.6731236414780719  ,0.5719174361759913   ,18410.0
Jumping Jacks                      ,0.6139172487909726 ,0.5964500130514226  ,0.6324384168281206   ,3613.0
Kettlebell Swing                   ,0.4952380952380953 ,0.5644955300127714  ,0.4411177644710579   ,7014.0
Lateral Raise                      ,0.3246821111304651 ,0.4170022371364653  ,0.2658300057045065   ,7012.0
Lawnmower (both)                   ,0.00293470286133529,0.003115264797507788,0.0027739251040221915,721.0
Lawnmower (right)                  ,0.22183291360998575,0.2657397691500525  ,0.19037774854350686  ,5321.0
Lunge (both legs)                  ,0.3974543911752227 ,0.4512089394085349  ,0.35514443854727423  ,13189.0
Ball Slam                          ,0.4099589389298051 ,0.3804742317928865  ,0.4443973435071358   ,7077.0
Triceps Extension (standing - both),0.6955426051346669 ,0.6772313669358961  ,0.7148715734944959   ,9266.0
Plank                              ,0.6358386107460071 ,0.6862104539202201  ,0.5923562152133579   ,26950.0
Power Boat pose                    ,0.5370317414927079 ,0.5745461962064042  ,0.5041159627773801   ,5588.0
Pushups                            ,0.5559244419004007 ,0.6282830896623107  ,0.4985114464634021   ,9741.0
Rowing machine                     ,0.6218571571671843 ,0.8290598290598291  ,0.4975156275044078   ,31195.0
Running                            ,0.7639997599183723 ,0.8293858934679915  ,0.7081699073687724   ,35949.0
Russian Twist                      ,0.34207525655644244,0.4305786372563831  ,0.2837514934289128   ,10044.0
Seated Back Fly                    ,0.26099588410943425,0.3232706917233107  ,0.218838814453918    ,7389.0
Shoulder Press                     ,0.5866737106253714 ,0.6277557942340305  ,0.5506384033717615   ,8067.0
Squat                              ,0.5050912986197471 ,0.5881290322580646  ,0.4426006646238833   ,46342.0
Triceps Kickback                   ,0.4361004106167718 ,0.4851196082124694  ,0.396078431372549    ,13005.0
Triceps extension (lying)          ,0.5379170879676439 ,0.6687294527170761  ,0.44990892531876137  ,7686.0
Dumbbell Curl                      ,0.4481399596270306 ,0.4637421665174575  ,0.4335534269506184   ,10753.0
V-up                               ,0.5938573449181653 ,0.6114636429834599  ,0.5772365707551802   ,10183.0
Walk                               ,0.5901919767525736 ,0.7905532243816255  ,0.4708561469277693   ,60819.0
Walking lunge                      ,0.3148319814600232 ,0.3655812701829925  ,0.27645502645502645  ,9828.0
Wall Ball                          ,0.5746574123509521 ,0.5533847472150814  ,0.5976309457708681   ,5403.0
Wall Squat                         ,0.2509807378675012 ,0.2754183999226081  ,0.2305263157894737   ,12350.0
accuracy                           ,0.7399186160603428 ,0.7399186160603428  ,0.7399186160603428   ,0.7399186160603428
macro avg                          ,0.45477973258806104,0.5092074184857062  ,0.4177439497420615   ,1405437.0
weighted avg                       ,0.7248817150717103 ,0.7259773097486726  ,0.7399186160603428   ,1405437.0
