Unnamed: 0                         ,f1-score           ,precision          ,recall             ,support
Noise                              ,0.8560879273719039 ,0.8026361231182374 ,0.9171669478019644 ,859017.0
Band Pull-Down Row                 ,0.2684477000969514 ,0.3773470623864325 ,0.2083263668282896 ,5981.0
Bicep Curl                         ,0.4258490964067225 ,0.4485593659728909 ,0.4053276219797872 ,14941.0
Box Jump (on bench)                ,0.0                ,0.0                ,0.0                ,874.0
Burpee                             ,0.5166017436468188 ,0.5594616311771796 ,0.479841488628532  ,11608.0
Butterfly sit-up                   ,0.5584443104207077 ,0.6336230811910486 ,0.4992131491519496 ,34314.0
Chest Press                        ,0.466451215758695  ,0.4808821196255752 ,0.452861198266846  ,6693.0
Crunch                             ,0.42712199950507296,0.5418301679485167 ,0.3524966813029715 ,9793.0
Dip                                ,0.3825702750057134 ,0.4535765895953757 ,0.3307864576472138 ,7591.0
Dumbbell Deadlift Row              ,0.3432235353281368 ,0.39490814407637786,0.3035019455252918 ,8995.0
Dumbbell Row (both)                ,0.19542161083692114,0.21373607442287812,0.17999806557694167,10339.0
Dumbbell Row (right)               ,0.13652073732718895,0.17516629711751666,0.1118452100047192 ,2119.0
Dumbbell Squat (hands at side)     ,0.4689936427971693 ,0.5820184578743673 ,0.3927280032141423 ,9956.0
Elliptical machine                 ,0.6629534470057674 ,0.8052112430167597 ,0.5634142617193465 ,32745.0
Punches                            ,0.7353601305855948 ,0.7592696629213483 ,0.7129104576025319 ,7583.0
Jump Rope                          ,0.6038198801059529 ,0.6203735533402085 ,0.5881266634077453 ,18411.0
Jumping Jacks                      ,0.6082052728041731 ,0.6198275862068966 ,0.5970107943537226 ,3613.0
Kettlebell Swing                   ,0.5358241758241757 ,0.5516669180871926 ,0.5208659735080473 ,7021.0
Lateral Raise                      ,0.34568996097907057,0.4567611905319897 ,0.2780710515052076 ,7009.0
Lawnmower (both)                   ,0.0                ,0.0                ,0.0                ,721.0
Lawnmower (right)                  ,0.20773056057866185,0.26063528077141235,0.17267944381811348,5322.0
Lunge (both legs)                  ,0.3655083655083655 ,0.4037791230966795 ,0.3338642396662874 ,13185.0
Ball Slam                          ,0.35655373683542696,0.32339739901024284,0.3972854517178001 ,7073.0
Triceps Extension (standing - both),0.6764705882352942 ,0.6634844868735084 ,0.6899751807488941 ,9267.0
Plank                              ,0.6194576231476601 ,0.6538081107814046 ,0.588536449638286  ,26955.0
Power Boat pose                    ,0.4928936895963616 ,0.5235507246376812 ,0.4656283566058002 ,5586.0
Pushups                            ,0.5756554521048722 ,0.6484364946596319 ,0.5175636811832375 ,9736.0
Rowing machine                     ,0.5759440323668239 ,0.8403123654922217 ,0.4381111146731638 ,31193.0
Running                            ,0.7283858768095725 ,0.8224936992439092 ,0.6536022253129347 ,35950.0
Russian Twist                      ,0.3953650867590544 ,0.4759568204121688 ,0.33811373369186337,10041.0
Seated Back Fly                    ,0.26178912736957544,0.3109415705247488 ,0.2260551948051948 ,7392.0
Shoulder Press                     ,0.5733549083063646 ,0.6278795038393384 ,0.5275434243176179 ,8060.0
Squat                              ,0.494962262993189  ,0.5736147457048584 ,0.4352781195363595 ,46329.0
Triceps Kickback                   ,0.4373605086958353 ,0.4836546521374686 ,0.39915449654112223,13010.0
Triceps extension (lying)          ,0.5656261752538548 ,0.6699928724162509 ,0.4893921645190681 ,7683.0
Dumbbell Curl                      ,0.4459626150488661 ,0.4551617276777067 ,0.43712797619047616,10752.0
V-up                               ,0.6491076422433517 ,0.6726736220887343 ,0.6271369620750639 ,10178.0
Walk                               ,0.6076994804848808 ,0.8064235402899024 ,0.4875534363696152 ,60820.0
Walking lunge                      ,0.30169980555729786,0.393488219895288  ,0.24463432000813756,9831.0
Wall Ball                          ,0.586449666270458  ,0.5792991329479769 ,0.5937789298278097 ,5401.0
Wall Squat                         ,0.23721916066129714,0.2488216985326812 ,0.22665046577561765,12345.0
accuracy                           ,0.7405667861790637 ,0.7405667861790637 ,0.7405667861790637 ,0.7405667861790637
macro avg                          ,0.4559215372349707 ,0.5101136843815757 ,0.4191257976840906 ,1405433.0
weighted avg                       ,0.7260533439800498 ,0.7273391382381809 ,0.7405667861790637 ,1405433.0
