Unnamed: 0                         ,f1-score            ,precision           ,recall               ,support
Noise                              ,0.779342515233799   ,0.7118309994706703  ,0.8610016856182308   ,859032.0
Band Pull-Down Row                 ,0.013361611876988337,0.01826616410553784 ,0.010533355626149474 ,5981.0
Bicep Curl                         ,0.2999473891884782  ,0.2947905894519131  ,0.3052878179384204   ,14940.0
Box Jump (on bench)                ,0.056039850560398514,0.061559507523939815,0.051428571428571435 ,875.0
Burpee                             ,0.07937064689081523 ,0.09481623368849516 ,0.06825232678386763  ,11604.0
Butterfly sit-up                   ,0.20380634390651084 ,0.2385306760453302  ,0.17790731565141354  ,34310.0
Chest Press                        ,0.07582361885453624 ,0.11786952410967537 ,0.05588762701733413  ,6692.0
Crunch                             ,0.10711365494685199 ,0.1610655737704918  ,0.08023683135973866  ,9796.0
Dip                                ,0.07581111468037262 ,0.09709936227113762 ,0.062178896061125026 ,7591.0
Dumbbell Deadlift Row              ,0.03077593089932496 ,0.044314381270903015,0.02357389080395864  ,8993.0
Dumbbell Row (both)                ,0.07247761194029853 ,0.09459248870188562 ,0.05874383044614344  ,10333.0
Dumbbell Row (right)               ,0.008502884907379289,0.011914893617021277,0.0066100094428706326,2118.0
Dumbbell Squat (hands at side)     ,0.08438213237691555 ,0.12021553325901152 ,0.06500552597206873  ,9953.0
Elliptical machine                 ,0.4773004291128884  ,0.5264650631699141  ,0.4365341152037139   ,32742.0
Punches                            ,0.2897120454238205  ,0.2971436494731004  ,0.2826431020838829   ,7582.0
Jump Rope                          ,0.3853551646478788  ,0.4383438343834383  ,0.34379581862612     ,18415.0
Jumping Jacks                      ,0.4694250076057195  ,0.5211077338736914  ,0.4270689177968448   ,3613.0
Kettlebell Swing                   ,0.299625468164794   ,0.3158559696778269  ,0.28498147620404674  ,7018.0
Lateral Raise                      ,0.12095914742451155 ,0.16027300541303835 ,0.09713307659392384  ,7011.0
Lawnmower (both)                   ,0.0                 ,0.0                 ,0.0                  ,721.0
Lawnmower (right)                  ,0.09232736572890028 ,0.144573488185823   ,0.06781889911703927  ,5323.0
Lunge (both legs)                  ,0.07826836315709433 ,0.1180067257719352  ,0.058551384148653775 ,13185.0
Ball Slam                          ,0.16652241647914146 ,0.21482804823581955 ,0.13595251554550594  ,7076.0
Triceps Extension (standing - both),0.2307207661290323  ,0.277382214815937   ,0.19749757307733792  ,9271.0
Plank                              ,0.5823837330158551  ,0.5934984400878173  ,0.5716776730726423   ,26954.0
Power Boat pose                    ,0.4216216216216216  ,0.4907407407407408  ,0.3695691042374397   ,5593.0
Pushups                            ,0.168571611008237   ,0.22263450834879409 ,0.13563501849568435  ,9732.0
Rowing machine                     ,0.17505388824407228 ,0.2476542341074361  ,0.13536991922041286  ,31196.0
Running                            ,0.4699259162559968  ,0.5682993250976832  ,0.4005842259006816   ,35945.0
Russian Twist                      ,0.2290103189493433  ,0.2789601485502071  ,0.19423172550969667  ,10055.0
Seated Back Fly                    ,0.09192455594213517 ,0.141888072357264   ,0.06798483206933911  ,7384.0
Shoulder Press                     ,0.029524000803374167,0.07749077490774907 ,0.018235950874581318 ,8061.0
Squat                              ,0.16198366092836938 ,0.24187462481776864 ,0.1217648455544283   ,46327.0
Triceps Kickback                   ,0.13182392290779807 ,0.1684600669536107  ,0.1082763390455698   ,13013.0
Triceps extension (lying)          ,0.2183945401364966  ,0.2909090909090909  ,0.17481789802289285  ,7688.0
Dumbbell Curl                      ,0.25509385528637896 ,0.3000377405963014  ,0.22186046511627908  ,10750.0
V-up                               ,0.21737014961683496 ,0.28541766490975884 ,0.17552303310087414  ,10181.0
Walk                               ,0.4186557667836348  ,0.5060240963855421  ,0.3570148468456619   ,60821.0
Walking lunge                      ,0.07957411039506865 ,0.12772655722959295 ,0.05778817784108251  ,9829.0
Wall Ball                          ,0.10584315735520247 ,0.17244258872651358 ,0.07635422444074691  ,5409.0
Wall Squat                         ,0.16043042308632918 ,0.20246913580246914 ,0.1328473066018631   ,12345.0
accuracy                           ,0.6134249475971534  ,0.6134249475971534  ,0.6134249475971534   ,0.6134249475971534
macro avg                          ,0.2052233344505658  ,0.2438383773369482  ,0.1823941499633375   ,1405458.0
weighted avg                       ,0.5765724001543716  ,0.5556981042115132  ,0.6134249475971534   ,1405458.0
