Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.7981461493275422  ,0.7436650808217979 ,0.8612408443030961  ,859028.0
Band Pull-Down Row                 ,0.025341480948957586,0.02739459879541481,0.023574653068048818,5981.0
Bicep Curl                         ,0.3175555770657891  ,0.3065661599800648 ,0.3293621578207617  ,14941.0
Box Jump (on bench)                ,0.06478704259148171 ,0.06809583858764187,0.06178489702517163 ,874.0
Burpee                             ,0.10021845985800107 ,0.10623311462755693,0.09484838042729153 ,11608.0
Butterfly sit-up                   ,0.2120286411611631  ,0.23802438670344025,0.191152041500306   ,34313.0
Chest Press                        ,0.1985327415994928  ,0.25206991720331184,0.16375317495891228 ,6693.0
Crunch                             ,0.14379254457050242 ,0.19691051136363635,0.11324415398754213 ,9793.0
Dip                                ,0.11336206896551725 ,0.1246642439563912 ,0.10393887498353313 ,7591.0
Dumbbell Deadlift Row              ,0.08683769178209826 ,0.09839527027027027,0.07770983879933296 ,8995.0
Dumbbell Row (both)                ,0.1103086014445174  ,0.1270001259921885 ,0.0974949221394719  ,10339.0
Dumbbell Row (right)               ,0.02511354528453112 ,0.02894088669950739,0.022180273714016045,2119.0
Dumbbell Squat (hands at side)     ,0.13508135315462952 ,0.16185133239831698,0.1159100040176778  ,9956.0
Elliptical machine                 ,0.4155434122647237  ,0.481004016064257  ,0.36576576576576575 ,32745.0
Punches                            ,0.32734557595993324 ,0.3315746753246753 ,0.32322299881313465 ,7583.0
Jump Rope                          ,0.4363793475912725  ,0.5052887364208118 ,0.38400955950247134 ,18411.0
Jumping Jacks                      ,0.4557865342848279  ,0.5185315919519944 ,0.40658732355383337 ,3613.0
Kettlebell Swing                   ,0.2596304415909803  ,0.28829768735872024,0.23614869676684236 ,7021.0
Lateral Raise                      ,0.1073645361516524  ,0.13026663952778345,0.09131117135112    ,7009.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,721.0
Lawnmower (right)                  ,0.055341197221916   ,0.06695118698319552,0.04716272078166103 ,5322.0
Lunge (both legs)                  ,0.13374023875774166 ,0.16379026052544796,0.1130072051573758  ,13185.0
Ball Slam                          ,0.20391428792449912 ,0.2251451998633413 ,0.1863424289551817  ,7073.0
Triceps Extension (standing - both),0.2521592951133268  ,0.27241983967935873,0.2347037876335384  ,9267.0
Plank                              ,0.5824599053440379  ,0.6023222636125862 ,0.5638657020960861  ,26955.0
Power Boat pose                    ,0.4959303426083665  ,0.5261044176706827 ,0.4690297171500179  ,5586.0
Pushups                            ,0.18363201911589008 ,0.21944603083952027,0.15786770747740345 ,9736.0
Rowing machine                     ,0.2816134717055023  ,0.3617749157317503 ,0.2305324912640657  ,31193.0
Running                            ,0.5022271181569999  ,0.5893880915801701 ,0.43752433936022256 ,35950.0
Russian Twist                      ,0.246               ,0.30047420606408964,0.2082461906184643  ,10041.0
Seated Back Fly                    ,0.09093926319283108 ,0.11759656652360514,0.07413419913419914 ,7392.0
Shoulder Press                     ,0.13333333333333333 ,0.21867043847241868,0.09590570719602977 ,8060.0
Squat                              ,0.23509568602011024 ,0.2946724777206791 ,0.19555785792915886 ,46329.0
Triceps Kickback                   ,0.17912092569830032 ,0.19965983180572616,0.16241352805534204 ,13010.0
Triceps extension (lying)          ,0.3030164533820841  ,0.3652892561983471 ,0.2588832487309645  ,7683.0
Dumbbell Curl                      ,0.284536507445767   ,0.3190063547082611 ,0.25678943452380953 ,10752.0
V-up                               ,0.24549019607843134 ,0.28558394160583944,0.2152682255845942  ,10178.0
Walk                               ,0.4340583513130017  ,0.5307553358368589 ,0.3671654061164091  ,60820.0
Walking lunge                      ,0.138150393086479   ,0.16847189695550352,0.11707862882717933 ,9831.0
Wall Ball                          ,0.09422260907409424 ,0.11455026455026456,0.08002217704675661 ,5411.0
Wall Squat                         ,0.1584622597280825  ,0.1880912632164719 ,0.13689752936411506 ,12345.0
accuracy                           ,0.6250041801468993  ,0.6250041801468993 ,0.6250041801468993  ,0.6250041801468993
macro avg                          ,0.2333316975584978  ,0.26499850863882685,0.2115033650122172  ,1405453.0
weighted avg                       ,0.5996411634923162  ,0.5849939293796328 ,0.6250041801468993  ,1405453.0
