Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.7997202720791107   ,0.7534887839007873  ,0.8519958138489889  ,859023.0
Band Pull-Down Row                 ,0.03173219422892511  ,0.033151183970856105,0.03042969403109848 ,5981.0
Bicep Curl                         ,0.31268886980309823  ,0.29795101842871    ,0.32896057827454656 ,14941.0
Box Jump (on bench)                ,0.0056022408963585435,0.005488474204171241,0.005720823798627002,874.0
Burpee                             ,0.14923599320882852  ,0.14708835341365462 ,0.15144727773949002 ,11608.0
Butterfly sit-up                   ,0.21038610956949175  ,0.230731775180857   ,0.19333780199924228 ,34313.0
Chest Press                        ,0.2116283093960893   ,0.2513874614594039  ,0.18272822351710746 ,6693.0
Crunch                             ,0.20447323392813493  ,0.254603561101811   ,0.1708363116511794  ,9793.0
Dip                                ,0.11322081575246133  ,0.12143611404435058 ,0.10604663417204584 ,7591.0
Dumbbell Deadlift Row              ,0.0808991394954048   ,0.08543521266073195 ,0.07682045580878266 ,8995.0
Dumbbell Row (both)                ,0.12305263157894734  ,0.13497286687449486 ,0.11306702775897087 ,10339.0
Dumbbell Row (right)               ,0.01951463597698274  ,0.020766773162939296,0.018404907975460124,2119.0
Dumbbell Squat (hands at side)     ,0.24516060412678156  ,0.2605108499095841  ,0.23151868220168745 ,9956.0
Elliptical machine                 ,0.39514744034786425  ,0.4917913502205648  ,0.3302488929607574  ,32745.0
Punches                            ,0.3015199233191839   ,0.31354122170012816 ,0.2903863906105763  ,7583.0
Jump Rope                          ,0.4721217412997381   ,0.5542945009885041  ,0.4111672369778937  ,18411.0
Jumping Jacks                      ,0.4483750359505321   ,0.4666267584555522  ,0.4314973706061445  ,3613.0
Kettlebell Swing                   ,0.24742108120685646  ,0.2716280653950954  ,0.2271756160091155  ,7021.0
Lateral Raise                      ,0.1168913560666138   ,0.13158364577753973 ,0.10515052075902412 ,7009.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                 ,721.0
Lawnmower (right)                  ,0.048024201172244284 ,0.048325722983257234,0.04772641863960917 ,5322.0
Lunge (both legs)                  ,0.14778764651011886  ,0.15882147838214786 ,0.13818733409177095 ,13185.0
Ball Slam                          ,0.2134359193559877   ,0.2151062607696726  ,0.21179131910080587 ,7073.0
Triceps Extension (standing - both),0.2408218058717096   ,0.2622679888126113  ,0.22261789144275385 ,9267.0
Plank                              ,0.5744676667780815   ,0.6111018154438216  ,0.5419773696902245  ,26955.0
Power Boat pose                    ,0.5250448070936703   ,0.5549351944167498  ,0.4982098102398854  ,5586.0
Pushups                            ,0.1760355029585799   ,0.19732142857142854 ,0.1588948233360723  ,9736.0
Rowing machine                     ,0.2288820571288963   ,0.31360187458156663 ,0.18020068605135767 ,31193.0
Running                            ,0.5018950914791072   ,0.5712814685935447  ,0.447538247566064   ,35950.0
Russian Twist                      ,0.2061237195087441   ,0.2387257472469848  ,0.1813564386017329  ,10041.0
Seated Back Fly                    ,0.1011608623548922   ,0.11423220973782773 ,0.09077380952380952 ,7392.0
Shoulder Press                     ,0.14100007975117632  ,0.1973654833668229  ,0.10967741935483873 ,8060.0
Squat                              ,0.26882180919402404  ,0.31032826713373635 ,0.2371085065509724  ,46329.0
Triceps Kickback                   ,0.1915005035246727   ,0.20118493440541685 ,0.1827056110684089  ,13010.0
Triceps extension (lying)          ,0.3745002855511136   ,0.41470355731225295 ,0.34140309774827543 ,7683.0
Dumbbell Curl                      ,0.3011443485243928   ,0.3270824247710423  ,0.27901785714285715 ,10752.0
V-up                               ,0.2630116490328097   ,0.2883083411433927  ,0.2417960306543525  ,10178.0
Walk                               ,0.4630199013336761   ,0.5806491606536239  ,0.3850213745478461  ,60820.0
Walking lunge                      ,0.16156416014020486  ,0.17501186521120074 ,0.15003560166819244 ,9831.0
Wall Ball                          ,0.11996086105675145  ,0.1273369339426672  ,0.11339252682204955 ,5406.0
Wall Squat                         ,0.17495820342505986  ,0.19783363989372574 ,0.15682462535439448 ,12345.0
accuracy                           ,0.6235108787763004   ,0.6235108787763004  ,0.6235108787763004  ,0.6235108787763004
macro avg                          ,0.2417549441457882   ,0.2666342382493471  ,0.22373651365602468 ,1405443.0
weighted avg                       ,0.6041935170800395   ,0.5936854436852411  ,0.6235108787763004  ,1405443.0
