Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.4379054196333953   ,0.8272039324752604  ,0.2977693029450044  ,859014.0
Band Pull-Down Row                 ,0.3629505448449288   ,0.3641103262697612  ,0.36179812834224606 ,5984.0
Bicep Curl                         ,0.4791856751824818   ,0.4173537300089401  ,0.5625251037622172  ,14938.0
Box Jump (on bench)                ,0.0006975933031042902,0.000502008032128514,0.001142857142857143,875.0
Burpee                             ,0.3947030268418047   ,0.33699030901444504 ,0.4762684124386252  ,11609.0
Butterfly sit-up                   ,0.4572665902432811   ,0.3793540702030779  ,0.5754546514339006  ,34312.0
Chest Press                        ,0.4307327616258802   ,0.280933108999136   ,0.9227781926811052  ,6695.0
Crunch                             ,0.4494847496245663   ,0.4560260586319218  ,0.4431284459873392  ,9794.0
Dip                                ,0.4209590038004367   ,0.3037162359255586  ,0.6856315026998552  ,7593.0
Dumbbell Deadlift Row              ,0.35938809723386417  ,0.3398394927177252  ,0.3813229571984436  ,8995.0
Dumbbell Row (both)                ,0.01425701509947508  ,0.02158979391560353 ,0.010642414860681114,10336.0
Dumbbell Row (right)               ,0.1532462468317411   ,0.1304780876494024  ,0.1856400566839868  ,2117.0
Dumbbell Squat (hands at side)     ,0.17240292305487892  ,0.10054652115053564 ,0.6041980516219745  ,9957.0
Elliptical machine                 ,0.6644836721936117   ,0.648009986355851   ,0.6818167934267998  ,32739.0
Punches                            ,0.8046964106004697   ,0.8191503892910804  ,0.7907436708860759  ,7584.0
Jump Rope                          ,0.4721182266009852   ,0.3704849084611577  ,0.6505919409145215  ,18414.0
Jumping Jacks                      ,0.6554352186121138   ,0.5138364779874214  ,0.9047619047619048  ,3612.0
Kettlebell Swing                   ,0.4797993616051072   ,0.35280311158798283 ,0.749643773154745   ,7018.0
Lateral Raise                      ,0.3400664332525361   ,0.2481331062491812  ,0.5402167712492869  ,7012.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                 ,721.0
Lawnmower (right)                  ,0.12655980786299798  ,0.08762290341237709 ,0.2277767336966736  ,5321.0
Lunge (both legs)                  ,0.14003340757238308  ,0.10086898395721926 ,0.2289138349514563  ,13184.0
Ball Slam                          ,0.3352224767876523   ,0.2923546114207593  ,0.39282181715416137 ,7077.0
Triceps Extension (standing - both),0.6754135232650765   ,0.5969024349842637  ,0.7777058379194993  ,9267.0
Plank                              ,0.1389580928388612   ,0.07580182802270341 ,0.832962303354111   ,26952.0
Power Boat pose                    ,0.1776193487801606   ,0.0994655390757475  ,0.8289803220035779  ,5590.0
Pushups                            ,0.3685772181212911   ,0.2844774618778976  ,0.5232713449090722  ,9733.0
Rowing machine                     ,0.6361506632590969   ,0.6053210584216316  ,0.6702891581714432  ,31194.0
Running                            ,0.7343176852281004   ,0.7007531719152807  ,0.7712592839856464  ,35949.0
Russian Twist                      ,0.31821065989847713  ,0.26455654467523904 ,0.39916426226246143 ,10051.0
Seated Back Fly                    ,0.15384615384615385  ,0.25796178343949044 ,0.10960757780784844 ,7390.0
Shoulder Press                     ,0.3771569968092727   ,0.3969842357779301  ,0.35921607541552963 ,8062.0
Squat                              ,0.024844964282910748 ,0.13683527885862518 ,0.013662853442693721,46330.0
Triceps Kickback                   ,0.43591179915465705  ,0.6460377358490565  ,0.32892714417460805 ,13012.0
Triceps extension (lying)          ,0.5451402228198232   ,0.5368898978433598  ,0.5536480686695279  ,7689.0
Dumbbell Curl                      ,0.35978362549314674  ,0.3196271137447608  ,0.4114801376872267  ,10749.0
V-up                               ,0.6286993058092802   ,0.5875875021341984  ,0.6759968571989786  ,10182.0
Walk                               ,0.5366579263095607   ,0.40060138431862025 ,0.8126633892898835  ,60821.0
Walking lunge                      ,0.3191258726098079   ,0.202760406622772   ,0.7489569553271599  ,9827.0
Wall Ball                          ,0.6107104495933712   ,0.5215568077578299  ,0.73662779937072    ,5403.0
Wall Squat                         ,0.12735440571552287  ,0.09561154002438034 ,0.19064981364446604 ,12342.0
accuracy                           ,0.39579165018314505  ,0.39579165018314505 ,0.39579165018314505 ,0.39579165018314505
macro avg                          ,0.3736603311278601   ,0.3444302409526906  ,0.4980647927470321  ,1405444.0
weighted avg                       ,0.4278850188866639   ,0.6508308273993305  ,0.39579165018314505 ,1405444.0
