Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.4977151333610188  ,0.8396296808069642 ,0.3536866319212022  ,859009.0
Band Pull-Down Row                 ,0.35705606665509465 ,0.3714337305886602 ,0.34375             ,5984.0
Bicep Curl                         ,0.5159469037179409  ,0.4678649237472767 ,0.5750435131878431  ,14938.0
Box Jump (on bench)                ,0.0                 ,0.0                ,0.0                 ,875.0
Burpee                             ,0.4352625188564701  ,0.3798972382787412 ,0.5095184770436729  ,11609.0
Butterfly sit-up                   ,0.45555580056892103 ,0.3663852729400915 ,0.6020925623688506  ,34312.0
Chest Press                        ,0.4477480129526052  ,0.2970558078218837 ,0.90873786407767    ,6695.0
Crunch                             ,0.4178364116094987  ,0.4323940585408476 ,0.4042270778027364  ,9794.0
Dip                                ,0.4101002313030069  ,0.2899111571374067 ,0.7005136309758988  ,7593.0
Dumbbell Deadlift Row              ,0.3397046046915725  ,0.33202420125252097,0.3477487493051695  ,8995.0
Dumbbell Row (both)                ,0.1127040331634856  ,0.10177819372952736,0.12625773993808048 ,10336.0
Dumbbell Row (right)               ,0.14429400386847194 ,0.12217490992466425,0.1761927255550307  ,2117.0
Dumbbell Squat (hands at side)     ,0.1840178522029397  ,0.1127050106176298 ,0.5010545344983429  ,9957.0
Elliptical machine                 ,0.6536197675460874  ,0.6396678265446358 ,0.6681938971868414  ,32739.0
Punches                            ,0.8069214323890967  ,0.8178494041170098 ,0.7962816455696202  ,7584.0
Jump Rope                          ,0.4992454328832407  ,0.3935077944030552 ,0.6826870859128924  ,18414.0
Jumping Jacks                      ,0.6532693461307738  ,0.5112676056338028 ,0.9044850498338871  ,3612.0
Kettlebell Swing                   ,0.4624092637400621  ,0.33182438298400097,0.762467939583927   ,7018.0
Lateral Raise                      ,0.33824060693641617 ,0.24748876553000265,0.5340844266970907  ,7012.0
Lawnmower (both)                   ,0.0                 ,0.0                ,0.0                 ,721.0
Lawnmower (right)                  ,0.13623453033069588 ,0.09329628343174713,0.2523961661341853  ,5321.0
Lunge (both legs)                  ,0.16405247692753386 ,0.11279949917477662,0.3006674757281553  ,13184.0
Ball Slam                          ,0.3550488599348534  ,0.30975686769813704,0.4158541754980924  ,7077.0
Triceps Extension (standing - both),0.6893982808022923  ,0.6183500385505012 ,0.7788928455810942  ,9267.0
Plank                              ,0.1543297599007708  ,0.08531362769029438,0.8078806767586821  ,26952.0
Power Boat pose                    ,0.18930514215334085 ,0.10692173913043478,0.824865831842576   ,5590.0
Pushups                            ,0.3143826604805761  ,0.2370880985952269 ,0.4664543306277612  ,9733.0
Rowing machine                     ,0.6278290145749104  ,0.5695267430629878 ,0.6994293774443804  ,31194.0
Running                            ,0.7436540102389079  ,0.7140479786988915 ,0.7758213024006231  ,35949.0
Russian Twist                      ,0.34262054688173904 ,0.302398172820708  ,0.3951845587503731  ,10051.0
Seated Back Fly                    ,0.11726450563967075 ,0.2354141166870665 ,0.07807848443843031 ,7390.0
Shoulder Press                     ,0.4152482039997411  ,0.4341588848287996 ,0.3979161498387497  ,8062.0
Squat                              ,0.019129353732630184,0.13470770968652926,0.010295704726958774,46330.0
Triceps Kickback                   ,0.4527270852665223  ,0.6875978703413718 ,0.33745773132493084 ,13012.0
Triceps extension (lying)          ,0.6241290322580645  ,0.6192548969402125 ,0.6290805046169853  ,7689.0
Dumbbell Curl                      ,0.4042796126358523  ,0.37060009303768027,0.4446925295376314  ,10749.0
V-up                               ,0.6542726679712979  ,0.6224290780141843 ,0.6895501866038106  ,10182.0
Walk                               ,0.568530643510934   ,0.4307525460491756 ,0.8358954966212327  ,60821.0
Walking lunge                      ,0.3137468658018097  ,0.1996503690548865 ,0.7321664801058309  ,9827.0
Wall Ball                          ,0.6010920673441529  ,0.5088597842835131 ,0.7341608002964061  ,5398.0
Wall Squat                         ,0.1470675156497676  ,0.1100124603078902 ,0.22176308539944906 ,12342.0
accuracy                           ,0.43342198922183467 ,0.43342198922183467,0.43342198922183467 ,0.43342198922183467
macro avg                          ,0.3845363477710431  ,0.3550682151874082 ,0.505500669408173   ,1405434.0
weighted avg                       ,0.4686579660646002  ,0.66239300174886   ,0.43342198922183467 ,1405434.0
