Unnamed: 0                         ,f1-score             ,precision            ,recall                ,support
Noise                              ,0.0003700553104682596,0.5389830508474577   ,0.00018509119524676496,859036.0
Band Pull-Down Row                 ,0.0012326656394453005,0.007858546168958742 ,0.0006687844841999665 ,5981.0
Bicep Curl                         ,0.04994677075940383  ,0.07403997895844293  ,0.03768406961178045   ,14940.0
Box Jump (on bench)                ,0.0028934254942935213,0.0015177918938669966,0.030892448512585814  ,874.0
Burpee                             ,0.058991257057612774 ,0.03777600425645118  ,0.13456237077877325   ,11608.0
Butterfly sit-up                   ,0.0015513754605645895,0.01569506726457399  ,0.0008160172529362049 ,34313.0
Chest Press                        ,0.030164727217772407 ,0.01890724461958169  ,0.0745555057522785    ,6693.0
Crunch                             ,0.005196645801346404 ,0.006161602016524296 ,0.004493005207801491  ,9793.0
Dip                                ,0.04359545294738077  ,0.03098622834295868  ,0.07350810169938085   ,7591.0
Dumbbell Deadlift Row              ,0.0155608755129959   ,0.012641522539417934 ,0.020233463035019456  ,8995.0
Dumbbell Row (both)                ,0.005350045857535922 ,0.012750455373406194 ,0.003385240352064997  ,10339.0
Dumbbell Row (right)               ,0.005251066622907779 ,0.008620689655172414 ,0.0037753657385559227 ,2119.0
Dumbbell Squat (hands at side)     ,0.07380628741649073  ,0.05182567726737338  ,0.12816392125351547   ,9956.0
Elliptical machine                 ,0.21545631950891414  ,0.2837891794769415   ,0.1736448312719499    ,32745.0
Punches                            ,0.28309922972360674  ,0.21564160971905846  ,0.4119741527100093    ,7583.0
Jump Rope                          ,0.2181446994970871   ,0.2013789933348656   ,0.2379555700396502    ,18411.0
Jumping Jacks                      ,0.13450178513469652  ,0.0878561736770692   ,0.2867423194021589    ,3613.0
Kettlebell Swing                   ,0.049493026688939824 ,0.034027777777777775 ,0.09072781655034896   ,7021.0
Lateral Raise                      ,0.030282702443699086 ,0.022797777938099704 ,0.045084890854615485  ,7009.0
Lawnmower (both)                   ,0.0015007128385983342,0.000760644265693042 ,0.05547850208044383   ,721.0
Lawnmower (right)                  ,0.009807307134470613 ,0.007753631101889266 ,0.013340849304772641  ,5322.0
Lunge (both legs)                  ,0.03829774561481879  ,0.03152888104344415  ,0.04876753886992795   ,13185.0
Ball Slam                          ,0.02651863600317209  ,0.017094716178635696 ,0.05909797822706065   ,7073.0
Triceps Extension (standing - both),0.02402844182910384  ,0.019337016574585638 ,0.031725477500809326  ,9267.0
Plank                              ,0.103756251790956    ,0.05547915926309338  ,0.7992580226303098    ,26955.0
Power Boat pose                    ,0.03596253005850192  ,0.01926898373097781  ,0.2690655209452202    ,5586.0
Pushups                            ,0.022868673280645704 ,0.01935667520637632  ,0.02793755135579293   ,9736.0
Rowing machine                     ,0.05048177169070038  ,0.08003897550111358  ,0.03686724585644215   ,31193.0
Running                            ,0.24906944233911035  ,0.31567262946676344  ,0.2056745479833101    ,35950.0
Russian Twist                      ,0.016224578349620798 ,0.013060381484631272 ,0.021412209939249083  ,10041.0
Seated Back Fly                    ,0.010822356710573158 ,0.011423418006914174 ,0.010281385281385282  ,7392.0
Shoulder Press                     ,0.03861947086646915  ,0.02442632651719376  ,0.09218362282878413   ,8060.0
Squat                              ,0.002247715176318412 ,0.06385542168674699  ,0.0011439918841330485 ,46329.0
Triceps Kickback                   ,0.0037091513717464985,0.011039208222306814 ,0.002229054573405073  ,13010.0
Triceps extension (lying)          ,0.026947355883754163 ,0.015213919475498026 ,0.11779252896004165   ,7683.0
Dumbbell Curl                      ,0.036701280149442336 ,0.044838233319908716 ,0.031063988095238092  ,10752.0
V-up                               ,0.02603759709518776  ,0.014743005855562784 ,0.11131853016309687   ,10178.0
Walk                               ,0.21709148398546055  ,0.14950030087408575  ,0.3962347911871095    ,60820.0
Walking lunge                      ,0.03442589156874872  ,0.02305117498878498  ,0.06796215281310407   ,9829.0
Wall Ball                          ,0.014249790444258175 ,0.00994733762434172  ,0.025110782865583457  ,5416.0
Wall Squat                         ,0.05971983964626775  ,0.033673342712902433 ,0.26366950182260024   ,12345.0
accuracy                           ,0.060549441714225126 ,0.060549441714225126 ,0.060549441714225126  ,0.060549441714225126
macro avg                          ,0.0554628399493436   ,0.06449557937144998  ,0.10845533514318764   ,1405463.0
weighted avg                       ,0.034328735731439165 ,0.3643904821467451   ,0.060549441714225126  ,1405463.0
