Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.01894076031006048  ,0.5816979672223395   ,0.009627115171495358,859032.0
Band Pull-Down Row                 ,0.019916429101417582 ,0.012992968511158666 ,0.04263501086774787 ,5981.0
Bicep Curl                         ,0.2282342319102283   ,0.22019661523145845  ,0.2368808567603748  ,14940.0
Box Jump (on bench)                ,0.011362797904522985 ,0.006073513172424673 ,0.08800000000000001 ,875.0
Burpee                             ,0.07556867659240066  ,0.050142337720905324 ,0.1533092037228542  ,11604.0
Butterfly sit-up                   ,0.01324503311258278  ,0.0284999037165415   ,0.008627222384144564,34310.0
Chest Press                        ,0.047755741127348636 ,0.02644338835013808  ,0.2461147638971907  ,6692.0
Crunch                             ,0.055756276791181884 ,0.03279662848497947  ,0.18589220089832584 ,9796.0
Dip                                ,0.07792138431958982  ,0.04886626251800248  ,0.19220129100250294 ,7591.0
Dumbbell Deadlift Row              ,0.037824137258724896 ,0.0291256305548883   ,0.05393083509396197 ,8993.0
Dumbbell Row (both)                ,0.025271161802527115 ,0.02055043646944714  ,0.03280750991967483 ,10333.0
Dumbbell Row (right)               ,0.01711616221096848  ,0.00933418968101049  ,0.10292728989612844 ,2118.0
Dumbbell Squat (hands at side)     ,0.12524739314093286  ,0.07341609959655776  ,0.42600221038882746 ,9953.0
Elliptical machine                 ,0.12054306088864508  ,0.2395095367847412   ,0.08053875755909841 ,32742.0
Punches                            ,0.3307245253777605   ,0.2341452710116305   ,0.562912160379847   ,7582.0
Jump Rope                          ,0.3616441256649816   ,0.3527467988434531   ,0.3710019006244909  ,18415.0
Jumping Jacks                      ,0.4954535034767327   ,0.342199704454296    ,0.8973152504843621  ,3613.0
Kettlebell Swing                   ,0.180978002848552    ,0.11632827440289703  ,0.4073810202336848  ,7018.0
Lateral Raise                      ,0.06522974355089207  ,0.044408912729523416 ,0.12280701754385966 ,7011.0
Lawnmower (both)                   ,0.0020090406830738324,0.0010422637969670122,0.02773925104022192 ,721.0
Lawnmower (right)                  ,0.021350287042748026 ,0.014282087088993272 ,0.042269396956603415,5323.0
Lunge (both legs)                  ,0.06039733737695649  ,0.04567718861763334  ,0.08911642017444066 ,13185.0
Ball Slam                          ,0.055581503970107436 ,0.04150969722338496  ,0.08408705483323912 ,7076.0
Triceps Extension (standing - both),0.09021945272283936  ,0.07759223300970874  ,0.1077553661956639  ,9271.0
Plank                              ,0.11063679182393138  ,0.05918556307982789  ,0.8466275877420791  ,26954.0
Power Boat pose                    ,0.055624227441285534 ,0.030959752321981424 ,0.2735562310030395  ,5593.0
Pushups                            ,0.07771382756349685  ,0.05386844507959192  ,0.13943690916563914 ,9732.0
Rowing machine                     ,0.08967702191322714  ,0.14295735129068465  ,0.06532888831901526 ,31196.0
Running                            ,0.40173874603993226  ,0.4270676691729323   ,0.3792460703853109  ,35945.0
Russian Twist                      ,0.08341591867938954  ,0.0583089224922809   ,0.14649428145201393 ,10055.0
Seated Back Fly                    ,0.01759530791788856  ,0.02558800723701215  ,0.013407367280606715,7384.0
Shoulder Press                     ,0.03487799270912017  ,0.02371806324816866  ,0.06587272050614068 ,8061.0
Squat                              ,0.018454149023573282 ,0.034423813734158565 ,0.01260603967448788 ,46327.0
Triceps Kickback                   ,0.04234238444641772  ,0.05403148854961832  ,0.034811342503650186,13013.0
Triceps extension (lying)          ,0.09830697187019026  ,0.06569215282944549  ,0.19523933402705515 ,7688.0
Dumbbell Curl                      ,0.09321763542397757  ,0.07093610409788309  ,0.13590697674418606 ,10750.0
V-up                               ,0.0851551166874507   ,0.05746771090959055  ,0.16432570474413122 ,10181.0
Walk                               ,0.2866747555492114   ,0.25328860245431273  ,0.3301984511928446  ,60821.0
Walking lunge                      ,0.06395980445410103  ,0.04799510877872319  ,0.09583884423644318 ,9829.0
Wall Ball                          ,0.0952434625788999   ,0.056185378503274715 ,0.3124422259197633  ,5409.0
Wall Squat                         ,0.028708923415371918 ,0.017289061853109217 ,0.08456865127582018 ,12345.0
accuracy                           ,0.08612779606363193  ,0.08612779606363193  ,0.08612779606363193 ,0.08612779606363193
macro avg                          ,0.10296667821276197  ,0.10069612450794332  ,0.19189723737075529 ,1405458.0
weighted avg                       ,0.06315186703596606  ,0.4059228910261593   ,0.08612779606363193 ,1405458.0
