Unnamed: 0                         ,f1-score           ,precision          ,recall            ,support
Noise                              ,0.9113242745050214 ,0.9136246479853708 ,0.9090354559402496,859038.0
Band Pull-Down Row                 ,0.6706487473037996 ,0.6656785243741765 ,0.6756937479103978,5982.0
Bicep Curl                         ,0.7115685686685986 ,0.708289124668435  ,0.7148785221872699,14941.0
Box Jump (on bench)                ,0.34537246049661396,0.34151785714285715,0.3493150684931507,876.0
Burpee                             ,0.585012432478779  ,0.5822169127058623 ,0.587834927199104 ,11607.0
Butterfly sit-up                   ,0.7146012844331963 ,0.7174455835267162 ,0.7117794486215538,34314.0
Chest Press                        ,0.7828796083376602 ,0.7774012964054213 ,0.7884356790676826,6693.0
Crunch                             ,0.7652022707512913 ,0.7664959016393442 ,0.7639129990809762,9793.0
Dip                                ,0.707036579819375  ,0.697474682732983  ,0.7168642951251647,7590.0
Dumbbell Deadlift Row              ,0.6196681144893641 ,0.6207050423917894 ,0.6186346453191016,8994.0
Dumbbell Row (both)                ,0.6381864075820355 ,0.6285767895675016 ,0.6480944089765912,10338.0
Dumbbell Row (right)               ,0.5611510791366907 ,0.5525594149908593 ,0.5700141442715699,2121.0
Dumbbell Squat (hands at side)     ,0.7431819314952386 ,0.7377746980795882 ,0.7486690105474636,9955.0
Elliptical machine                 ,0.9257675039436962 ,0.9195468104980866 ,0.9320729360740356,32741.0
Punches                            ,0.8902214022140221 ,0.8892838335966298 ,0.8911609498680739,7580.0
Jump Rope                          ,0.8732508290867912 ,0.8670557370027306 ,0.8795350858135998,18412.0
Jumping Jacks                      ,0.9502350013823609 ,0.9494475138121546 ,0.9510237963475372,3614.0
Kettlebell Swing                   ,0.8107066381156317 ,0.8126788780767029 ,0.8087439475932783,7022.0
Lateral Raise                      ,0.6165672821323371 ,0.6209840810419681 ,0.6122128691682123,7009.0
Lawnmower (both)                   ,0.5413333333333333 ,0.5205128205128206 ,0.5638888888888889,720.0
Lawnmower (right)                  ,0.5561722488038278 ,0.5664717348927876 ,0.5462406015037594,5320.0
Lunge (both legs)                  ,0.5311714146304846 ,0.5257057949479941 ,0.5367518774178867,13183.0
Ball Slam                          ,0.5687917080789436 ,0.5713878191413493 ,0.5662190812720848,7075.0
Triceps Extension (standing - both),0.8120090390616592 ,0.8101782263259609 ,0.8138481449525453,9272.0
Plank                              ,0.9282822119917912 ,0.9252202115505104 ,0.9313645470060102,26954.0
Power Boat pose                    ,0.8356285310734463 ,0.8245644599303136 ,0.8469935576234788,5588.0
Pushups                            ,0.7855068032410947 ,0.7794296116504854 ,0.7916795069337442,9735.0
Rowing machine                     ,0.8544837087111139 ,0.8539092015111737 ,0.8550589894844832,31192.0
Running                            ,0.9274208044689648 ,0.9220786362386584 ,0.9328252343467496,35951.0
Russian Twist                      ,0.6940802542709575 ,0.6924982657813894 ,0.6956694873071179,10045.0
Seated Back Fly                    ,0.6406345332519829 ,0.6417221241341844 ,0.639550622631294 ,7388.0
Shoulder Press                     ,0.7855550049554013 ,0.7844859581838426 ,0.7866269693586404,8061.0
Squat                              ,0.795936176860341  ,0.7945408788797832 ,0.7973363840442065,46328.0
Triceps Kickback                   ,0.7232340166120551 ,0.7168970466047284 ,0.7296840162989159,13007.0
Triceps extension (lying)          ,0.7585179427386967 ,0.7552889576883385 ,0.7617746552172782,7686.0
Dumbbell Curl                      ,0.7426456984273822 ,0.7386144079492134 ,0.7467212352339317,10751.0
V-up                               ,0.6926911118787938 ,0.6957470010905126 ,0.6896619496855346,10176.0
Walk                               ,0.8016852192903826 ,0.7947296991630852 ,0.8087635646169024,60820.0
Walking lunge                      ,0.5844888008532683 ,0.5836883749239197 ,0.5852914250839182,9831.0
Wall Ball                          ,0.7342806724250024 ,0.738050784167289  ,0.730548881907226 ,5411.0
Wall Squat                         ,0.7340887174541949 ,0.7282946663477637 ,0.7399756986634265,12345.0
accuracy                           ,0.8582797506010492 ,0.8582797506010492 ,0.8582797506010492,0.8582797506010492
macro avg                          ,0.7280785455801371 ,0.7251896100452507 ,0.7310826160264154,1405459.0
weighted avg                       ,0.8584538070431623 ,0.8586606008487401 ,0.8582797506010492,1405459.0
