Unnamed: 0                         ,f1-score          ,precision         ,recall            ,support
Noise                              ,0.979288686357558 ,0.9799119267252734,0.9786662382685264,859014.0
Band Pull-Down Row                 ,0.9398433594400932,0.9371884346959124,0.9425133689839572,5984.0
Bicep Curl                         ,0.9479475807796192,0.9443890771377316,0.9515330030793948,14938.0
Box Jump (on bench)                ,0.8514513375071144,0.8480725623582767,0.8548571428571429,875.0
Burpee                             ,0.9017221287064612,0.9036332179930796,0.8998191058661383,11609.0
Butterfly sit-up                   ,0.9531999242104036,0.9533805650310504,0.9530193518302634,34312.0
Chest Press                        ,0.9457687723480334,0.9433794025858224,0.948170276325616 ,6695.0
Crunch                             ,0.9599060217580059,0.9603474706182932,0.9594649785583009,9794.0
Dip                                ,0.9365566808232604,0.9293309128630706,0.9438956934018174,7593.0
Dumbbell Deadlift Row              ,0.9234447100683828,0.9235987544483986,0.9232907170650362,8995.0
Dumbbell Row (both)                ,0.8961801212354471,0.8912918660287081,0.901122291021672 ,10336.0
Dumbbell Row (right)               ,0.9023190442726634,0.8949814126394052,0.9097779877184696,2117.0
Dumbbell Squat (hands at side)     ,0.9544976723231716,0.951497005988024 ,0.95751732449533  ,9957.0
Elliptical machine                 ,0.9783129588083572,0.977641532454856 ,0.978985308042396 ,32739.0
Punches                            ,0.9722808870116156,0.97330866807611  ,0.9712552742616034,7584.0
Jump Rope                          ,0.9703313988175948,0.9691224268689056,0.9715433908982296,18414.0
Jumping Jacks                      ,0.9811894882434302,0.980375898286346 ,0.9820044296788484,3612.0
Kettlebell Swing                   ,0.9620596205962059,0.96302113078241  ,0.9611000284981476,7018.0
Lateral Raise                      ,0.9323050556983721,0.9336384439359268,0.9309754706217912,7012.0
Lawnmower (both)                   ,0.8904203997243281,0.8849315068493151,0.8959778085991679,721.0
Lawnmower (right)                  ,0.9199587125832788,0.9186656671664168,0.9212554031197144,5321.0
Lunge (both legs)                  ,0.9065346384972977,0.903427495291902 ,0.9096632281553398,13184.0
Ball Slam                          ,0.9201273434736469,0.9213658260130348,0.9188921859545004,7077.0
Triceps Extension (standing - both),0.9676584734799484,0.9667205169628432,0.968598251861444 ,9267.0
Plank                              ,0.9670565988765504,0.9663937159583534,0.9677203918076579,26952.0
Power Boat pose                    ,0.9360942520528384,0.9340933380833629,0.9381037567084078,5590.0
Pushups                            ,0.9538287709927584,0.9535838981310332,0.9540737696496456,9733.0
Rowing machine                     ,0.9794213659348396,0.9777941082497285,0.9810540488555493,31194.0
Running                            ,0.9772073036754788,0.9770578420467184,0.9773568110378592,35949.0
Russian Twist                      ,0.9383517196625568,0.9415948707673812,0.93513083275296  ,10051.0
Seated Back Fly                    ,0.929665266296246 ,0.9310532030401736,0.9282814614343708,7390.0
Shoulder Press                     ,0.9541113729381124,0.9539930555555556,0.9542297196725378,8062.0
Squat                              ,0.959731977420606 ,0.9579981934706868,0.961472048348802 ,46330.0
Triceps Kickback                   ,0.9194563882063882,0.918610003068426 ,0.920304334460498 ,13012.0
Triceps extension (lying)          ,0.9631120924795428,0.9618627578155404,0.9643646768110288,7689.0
Dumbbell Curl                      ,0.960380348652932 ,0.9623540401681456,0.9584147362545352,10749.0
V-up                               ,0.9558410869886279,0.9582469647616229,0.9534472598703596,10182.0
Walk                               ,0.9568923046605576,0.9557465514130596,0.9580408082734582,60821.0
Walking lunge                      ,0.9158065168994132,0.9107376471772164,0.9209321257759234,9827.0
Wall Ball                          ,0.9653189910979229,0.9672923248466828,0.963353692393115 ,5403.0
Wall Squat                         ,0.8854288834068021,0.8838918046023415,0.8869713174526008,12342.0
accuracy                           ,0.96858501654993  ,0.96858501654993  ,0.96858501654993  ,0.96858501654993
macro avg                          ,0.9417319574879623,0.9406225863648084,0.9428573183102964,1405444.0
weighted avg                       ,0.9686001563247316,0.9686193234275332,0.96858501654993  ,1405444.0
