Unnamed: 0                         ,f1-score            ,precision          ,recall              ,support
Noise                              ,0.7883950471425526  ,0.7055186128034906 ,0.8933339231417542  ,859036.0
Band Pull-Down Row                 ,0.02967988128047488 ,0.04054445409788589,0.02340745694699883 ,5981.0
Bicep Curl                         ,0.3625946785783647  ,0.3510718315156074 ,0.3748995983935743  ,14940.0
Box Jump (on bench)                ,0.13055954088952654 ,0.175              ,0.10411899313501144 ,874.0
Burpee                             ,0.07207408233850274 ,0.10224754669199114,0.05565127498277049 ,11608.0
Butterfly sit-up                   ,0.3174803778102966  ,0.3696704488246912 ,0.2782035963046076  ,34313.0
Chest Press                        ,0.07153869873573851 ,0.11462450592885375,0.05199462124607799 ,6693.0
Crunch                             ,0.17408395339042534 ,0.27846395688300024,0.12662105585622382 ,9793.0
Dip                                ,0.0575860224638973  ,0.08905431486076648,0.04255038861810039 ,7591.0
Dumbbell Deadlift Row              ,0.053354256571204385,0.09066666666666667,0.03779877709838799 ,8995.0
Dumbbell Row (both)                ,0.06277540505728424 ,0.10494106980961017,0.0447818938001741  ,10339.0
Dumbbell Row (right)               ,0.037164487267721966,0.06861499364675985,0.025483718735252483,2119.0
Dumbbell Squat (hands at side)     ,0.08009219245174301 ,0.1415478615071283 ,0.05584572117316191 ,9956.0
Elliptical machine                 ,0.5832438725675491  ,0.577593435553426  ,0.58900595510765    ,32745.0
Punches                            ,0.5723976784502902  ,0.6680154820548909 ,0.5007253066068839  ,7583.0
Jump Rope                          ,0.6707411552035809  ,0.7109489051094889 ,0.6348378686654718  ,18411.0
Jumping Jacks                      ,0.7730445932469012  ,0.7965355255431591 ,0.7508995294768891  ,3613.0
Kettlebell Swing                   ,0.4589722492333009  ,0.483301827347196  ,0.4369747899159664  ,7021.0
Lateral Raise                      ,0.23058608058608054 ,0.32191255433393   ,0.17962619489228135 ,7009.0
Lawnmower (both)                   ,0.0594059405940594  ,0.14361702127659576,0.03744798890429958 ,721.0
Lawnmower (right)                  ,0.1413340623291416  ,0.2592778335005015 ,0.09714393085306276 ,5322.0
Lunge (both legs)                  ,0.031115879828326174,0.07268170426065163,0.01979522184300341 ,13185.0
Ball Slam                          ,0.18651756514400253 ,0.3674147963424772 ,0.1249823271596211  ,7073.0
Triceps Extension (standing - both),0.2346322722283205  ,0.3220945564136372 ,0.18452573648429912 ,9267.0
Plank                              ,0.5998910169730973  ,0.6577852527219615 ,0.5513633834168058  ,26955.0
Power Boat pose                    ,0.21942587495084548 ,0.4096916299559472 ,0.1498388829215897  ,5586.0
Pushups                            ,0.09106991769863858 ,0.18131699846860644,0.06080525883319639 ,9736.0
Rowing machine                     ,0.24983045656406555 ,0.3933048629287781 ,0.18305389029589966 ,31193.0
Running                            ,0.7135133542522945  ,0.7584165857630516 ,0.6736300417246175  ,35950.0
Russian Twist                      ,0.3542842146699908  ,0.5191309363583926 ,0.268897520167314   ,10041.0
Seated Back Fly                    ,0.14513310720526262 ,0.3020967051775781 ,0.09550865800865803 ,7392.0
Shoulder Press                     ,0.01814604285089637 ,0.07628676470588236,0.010297766749379652,8060.0
Squat                              ,0.1653109080617773  ,0.3296143428350316 ,0.11031967018498133 ,46329.0
Triceps Kickback                   ,0.1664569271250429  ,0.32535778175313057,0.11183704842428903 ,13010.0
Triceps extension (lying)          ,0.25541823392441343 ,0.4094171691070916 ,0.18560458154366785 ,7683.0
Dumbbell Curl                      ,0.3849997128582094  ,0.5032277435820447 ,0.3117559523809524  ,10752.0
V-up                               ,0.2026548672566372  ,0.4062684801892371 ,0.13499705246610336 ,10178.0
Walk                               ,0.32991871962460195 ,0.4544903613067066 ,0.2589444261756001  ,60820.0
Walking lunge                      ,0.01985156040418493 ,0.08197932053175776,0.011293112218943942,9829.0
Wall Ball                          ,0.1725587914655038  ,0.5512437810945273 ,0.10228951255539144 ,5416.0
Wall Squat                         ,0.21536911624783125 ,0.34842448388265124,0.15585257189145402 ,12345.0
accuracy                           ,0.6494144634188165  ,0.6494144634188165 ,0.6494144634188165  ,0.6494144634188165
macro avg                          ,0.25568787306152635 ,0.34301007573987274,0.2206571999829358  ,1405463.0
weighted avg                       ,0.6017864334664548  ,0.5863775878535212 ,0.6494144634188165  ,1405463.0
