Unnamed: 0                         ,f1-score            ,precision            ,recall              ,support
Noise                              ,0.21763561987461694 ,0.8342983096099219   ,0.12513984170094072 ,859007.0
Band Pull-Down Row                 ,0.31583840825624104 ,0.2187379265936896   ,0.5679652232068216  ,5981.0
Bicep Curl                         ,0.3982805654294453  ,0.3385011709601873   ,0.4837025634161034  ,14941.0
Box Jump (on bench)                ,0.14606741573033707 ,0.09532122905027933  ,0.3123569794050343  ,874.0
Burpee                             ,0.3056046837836189  ,0.2364794714487966   ,0.43183385039641503 ,11604.0
Butterfly sit-up                   ,0.3338090501520853  ,0.33014913456328954  ,0.3375510204081633  ,34300.0
Chest Press                        ,0.41953807952651456 ,0.2716500748832702   ,0.920860086605943   ,6697.0
Crunch                             ,0.3881327719573093  ,0.2853030084928746   ,0.6068585425597061  ,9798.0
Dip                                ,0.40125300502659    ,0.27731346289396835  ,0.7255005268703899  ,7592.0
Dumbbell Deadlift Row              ,0.2969143283303813  ,0.255741127348643    ,0.3538888888888889  ,9000.0
Dumbbell Row (both)                ,0.012527964205816556,0.011650162270117332 ,0.013548824155617922,10333.0
Dumbbell Row (right)               ,0.19208813219829746 ,0.12193261284170374  ,0.4523584905660377  ,2120.0
Dumbbell Squat (hands at side)     ,0.17366340124405047 ,0.09927873195030304  ,0.6925780857688059  ,9957.0
Elliptical machine                 ,0.7907182076538918  ,0.7210466725374259   ,0.8752939739164961  ,32741.0
Punches                            ,0.7239548367409216  ,0.674207116062294    ,0.7816288877174487  ,7588.0
Jump Rope                          ,0.536488506821155   ,0.4706533322403476   ,0.6237370994024987  ,18410.0
Jumping Jacks                      ,0.7014044372074089  ,0.5546434894575889   ,0.953778023802934   ,3613.0
Kettlebell Swing                   ,0.5803129938318805  ,0.4516384987701341   ,0.8115198175078414  ,7014.0
Lateral Raise                      ,0.23004949897380175 ,0.14590352220520675  ,0.5434968625213921  ,7012.0
Lawnmower (both)                   ,0.002356406480117821,0.0014958863126402393,0.005547850208044383,721.0
Lawnmower (right)                  ,0.10474308300395258 ,0.06350093853588402  ,0.2988160120278143  ,5321.0
Lunge (both legs)                  ,0.1043220435625499  ,0.07460203549060543  ,0.17340207748881645 ,13189.0
Ball Slam                          ,0.2154094392900363  ,0.16746373970991768  ,0.30182280627384483 ,7077.0
Triceps Extension (standing - both),0.530111821086262   ,0.4207556738937492   ,0.7162745521260523  ,9266.0
Plank                              ,0.13110595286065346 ,0.07098128141784349  ,0.8571799628942486  ,26950.0
Power Boat pose                    ,0.16415399547072146 ,0.09023331910655856  ,0.9080171796707228  ,5588.0
Pushups                            ,0.4658679745919434  ,0.3828718694244367   ,0.5948054614515963  ,9741.0
Rowing machine                     ,0.5026726300861787  ,0.4891126341966398   ,0.5170059304375701  ,31195.0
Running                            ,0.7790440272198081  ,0.7656111513979534   ,0.7929566886422432  ,35949.0
Russian Twist                      ,0.2949934316158225  ,0.2328341013824885   ,0.4024293110314616  ,10044.0
Seated Back Fly                    ,0.12449851171217807 ,0.11928084314941105  ,0.130193530924347   ,7389.0
Shoulder Press                     ,0.4694611943201712  ,0.3862527006481555   ,0.5983637039791744  ,8067.0
Squat                              ,0.017147587511825924,0.09899863450159307  ,0.009386733416770964,46342.0
Triceps Kickback                   ,0.3975493533015657  ,0.44499476140584815  ,0.3592464436755094  ,13005.0
Triceps extension (lying)          ,0.3711652569120061  ,0.2743049076320209   ,0.5737704918032787  ,7686.0
Dumbbell Curl                      ,0.4166666666666667  ,0.3613634811120978   ,0.4919557332837348  ,10753.0
V-up                               ,0.4608835628688965  ,0.3624803060994824   ,0.632622999116174   ,10183.0
Walk                               ,0.5276230561097598  ,0.3951902133861749   ,0.793551357306105   ,60819.0
Walking lunge                      ,0.3126512476692982  ,0.19417547490575798  ,0.8019741528442047  ,9827.0
Wall Ball                          ,0.5622807017543859  ,0.4652231764848192   ,0.7105117310179199  ,5413.0
Wall Squat                         ,0.1365521362414102  ,0.0800981423063442   ,0.4625910931174089  ,12350.0
accuracy                           ,0.2923205761542331  ,0.2923205761542331   ,0.2923205761542331  ,0.2923205761542331
macro avg                          ,0.3476961460312336  ,0.30088473967513324  ,0.530390814428159   ,1405457.0
weighted avg                       ,0.2850227725238292  ,0.6420251208240131   ,0.2923205761542331  ,1405457.0
