Unnamed: 0                         ,f1-score            ,precision           ,recall             ,support
Noise                              ,0.3045725492469254  ,0.8952689271312546  ,0.18349980210006755,859020.0
Band Pull-Down Row                 ,0.3708321252536968  ,0.2607897777475702  ,0.6415315164688179 ,5981.0
Bicep Curl                         ,0.35307024226725586 ,0.32410204766700235 ,0.3877250518706914 ,14941.0
Box Jump (on bench)                ,0.3868288341738357  ,0.26121794871794873 ,0.7451428571428571 ,875.0
Burpee                             ,0.4427792915531336  ,0.3550249687890137  ,0.5881592554291624 ,11604.0
Butterfly sit-up                   ,0.5211723911007619  ,0.4605663415943455  ,0.6001457301078402 ,34310.0
Chest Press                        ,0.5160344827586207  ,0.36261206687666586 ,0.8945008965929468 ,6692.0
Crunch                             ,0.4535284513515148  ,0.32219262823266603 ,0.7656186198448346 ,9796.0
Dip                                ,0.3905262101495333  ,0.2617254057932024  ,0.7689368989592938 ,7591.0
Dumbbell Deadlift Row              ,0.2709560489352061  ,0.24756209751609934 ,0.29923273657289   ,8993.0
Dumbbell Row (both)                ,0.1013062574867378  ,0.07181851267742327 ,0.17187651214555308,10333.0
Dumbbell Row (right)               ,0.1414508133770858  ,0.08299877099549365 ,0.4782813975448537 ,2118.0
Dumbbell Squat (hands at side)     ,0.25513080345703176 ,0.1660702371565476  ,0.5501858736059481 ,9953.0
Elliptical machine                 ,0.8200679556183662  ,0.8075624777922541  ,0.8329668315924501 ,32742.0
Punches                            ,0.7348927875243665  ,0.6828163912157573  ,0.795568451595885  ,7582.0
Jump Rope                          ,0.5489228392412668  ,0.4537585583028841  ,0.6945967960901439 ,18415.0
Jumping Jacks                      ,0.7023023023023023  ,0.5501019288066489  ,0.9709382784389704 ,3613.0
Kettlebell Swing                   ,0.7201210287443268  ,0.6085759244689221  ,0.8817326873753206 ,7018.0
Lateral Raise                      ,0.3439184046277972  ,0.2186266160873268  ,0.8055912138068749 ,7011.0
Lawnmower (both)                   ,0.016456390565002744,0.013611615245009073,0.02080443828016644,721.0
Lawnmower (right)                  ,0.08756850302855494 ,0.04877683046998843 ,0.4277662972008266 ,5323.0
Lunge (both legs)                  ,0.14191155492154064 ,0.113743425565973   ,0.18862343572241186,13185.0
Ball Slam                          ,0.4613921643210346  ,0.3476640871309831  ,0.6856981345392877 ,7076.0
Triceps Extension (standing - both),0.6652169889886185  ,0.5824353884793001  ,0.7754287563369647 ,9271.0
Plank                              ,0.13624083848212726 ,0.074389985727066   ,0.808265934555168  ,26954.0
Power Boat pose                    ,0.2121619278779473  ,0.12071218958841952 ,0.8752011442875023 ,5593.0
Pushups                            ,0.36234579616625545 ,0.2873051224944321  ,0.4904438964241677 ,9732.0
Rowing machine                     ,0.7260170158003859  ,0.6553344175120679  ,0.8137902295166047 ,31196.0
Running                            ,0.7841891981664783  ,0.7505340793489318  ,0.8210043121435526 ,35945.0
Russian Twist                      ,0.2291610234184541  ,0.15228775283105322 ,0.4627548483341621 ,10055.0
Seated Back Fly                    ,0.24375978251915315 ,0.17515094116254293 ,0.4007313109425785 ,7384.0
Shoulder Press                     ,0.6023357086302454  ,0.5010290606734173  ,0.754993177025183  ,8061.0
Squat                              ,0.016795017212902708,0.1074885379521141  ,0.00910915880587994,46327.0
Triceps Kickback                   ,0.3165486155827431  ,0.35858782338066525 ,0.2833320525628218 ,13013.0
Triceps extension (lying)          ,0.6697224344283167  ,0.5503473675399682  ,0.8552289281997919 ,7688.0
Dumbbell Curl                      ,0.5650183470207933  ,0.4525048978449482  ,0.752              ,10750.0
V-up                               ,0.5490597325618318  ,0.4284219799581544  ,0.7642667714369905 ,10181.0
Walk                               ,0.5547606061578277  ,0.4110687597568803  ,0.8528962036138834 ,60821.0
Walking lunge                      ,0.3354446614968725  ,0.20808342921491346 ,0.8646998982706002 ,9830.0
Wall Ball                          ,0.6696106572458969  ,0.5555691255495847  ,0.8425634376736433 ,5399.0
Wall Squat                         ,0.1886982230485537  ,0.1162127156345616  ,0.5014985824220332 ,12345.0
accuracy                           ,0.35688518454745066 ,0.35688518454745066 ,0.35688518454745066,0.35688518454745066
macro avg                          ,0.4125080245563733  ,0.3513329551373171  ,0.6172520086726737 ,1405438.0
weighted avg                       ,0.3606399785493678  ,0.6970876761012668  ,0.35688518454745066,1405438.0
