Unnamed: 0                         ,f1-score             ,precision           ,recall              ,support
Noise                              ,0.01949940891771745  ,0.6495302115957529  ,0.009898281566123969,859038.0
Band Pull-Down Row                 ,0.021060513876538588 ,0.014624634384140398,0.037612838515546636,5982.0
Bicep Curl                         ,0.21718838929994308  ,0.18892024357641468 ,0.2554045913928117  ,14941.0
Box Jump (on bench)                ,0.010648063154029741 ,0.00562560620756547 ,0.09931506849315068 ,876.0
Burpee                             ,0.07894435632879311  ,0.04871846619576186 ,0.2079779443439304  ,11607.0
Butterfly sit-up                   ,0.04266354061206728  ,0.05462318642834402 ,0.03500029142624002 ,34314.0
Chest Press                        ,0.04759772934835163  ,0.027039674465920645,0.19856566562079786 ,6693.0
Crunch                             ,0.05726879952421768  ,0.034553360351232694,0.16716021648116    ,9793.0
Dip                                ,0.0859981105608199   ,0.05493581068724626 ,0.1978919631093544  ,7590.0
Dumbbell Deadlift Row              ,0.04337747043338179  ,0.03354195782949505 ,0.06137424949966645 ,8994.0
Dumbbell Row (both)                ,0.02317188983855651  ,0.016102877399404157,0.041303927258657384,10338.0
Dumbbell Row (right)               ,0.026781444285031084 ,0.015091627739849085,0.1188118811881188  ,2121.0
Dumbbell Squat (hands at side)     ,0.11108927752669154  ,0.06387466104248267 ,0.4259166248116524  ,9955.0
Elliptical machine                 ,0.1858696800084486   ,0.3012873185428649  ,0.13438807611251946 ,32741.0
Punches                            ,0.4135061456788943   ,0.3243304073823993  ,0.5703166226912929  ,7580.0
Jump Rope                          ,0.3885473299120979   ,0.3650119331742244  ,0.4153269606778188  ,18412.0
Jumping Jacks                      ,0.3903794136998319   ,0.26527570789865873 ,0.7387935805201993  ,3614.0
Kettlebell Swing                   ,0.1721191195511437   ,0.10784985396459093 ,0.4259470236399886  ,7022.0
Lateral Raise                      ,0.07071917808219177  ,0.04420106310870108 ,0.17677272078755885 ,7009.0
Lawnmower (both)                   ,0.0037980693147649947,0.002013760698103709,0.03333333333333333 ,720.0
Lawnmower (right)                  ,0.027157423526485952 ,0.018464660128508625,0.05131578947368421 ,5320.0
Lunge (both legs)                  ,0.07260216261760988  ,0.06757728253055356 ,0.07843434726541758 ,13183.0
Ball Slam                          ,0.05165007328043665  ,0.04019823788546256 ,0.072226148409894   ,7075.0
Triceps Extension (standing - both),0.11344799928705107  ,0.09665907365223994 ,0.13729508196721313 ,9272.0
Plank                              ,0.10841686320754716  ,0.058052651242087326,0.8186169028715591  ,26954.0
Power Boat pose                    ,0.04950868286798522  ,0.02662378030651134 ,0.3525411596277738  ,5588.0
Pushups                            ,0.0838656087990147   ,0.05814600047660656 ,0.15038520801232666 ,9735.0
Rowing machine                     ,0.135583674388916    ,0.1635861194165081  ,0.1157668632982816  ,31192.0
Running                            ,0.460390266656301    ,0.5219644619940771  ,0.4118105198742733  ,35951.0
Russian Twist                      ,0.08910546467107552  ,0.05938297378798424 ,0.17839721254355398 ,10045.0
Seated Back Fly                    ,0.011198428290766208 ,0.020415472779369632,0.007715213860314022,7388.0
Shoulder Press                     ,0.048140424052832816 ,0.03704446673353393 ,0.06872596452053095 ,8061.0
Squat                              ,0.010745091596155429 ,0.02249432482630529 ,0.00705836643066828 ,46328.0
Triceps Kickback                   ,0.03962125390696819  ,0.049262772888330086,0.0331360036903206  ,13007.0
Triceps extension (lying)          ,0.1000953548562866   ,0.06330335297563665 ,0.23900598490762426 ,7686.0
Dumbbell Curl                      ,0.10525578135949544  ,0.08443420091067512 ,0.13970793414566088 ,10751.0
V-up                               ,0.09252943444348884  ,0.06626173384870238 ,0.15330188679245282 ,10176.0
Walk                               ,0.3109735376250351   ,0.2823508894314615  ,0.3460539296284117  ,60820.0
Walking lunge                      ,0.10835957629544804  ,0.08358637442720697 ,0.15400264469535144 ,9831.0
Wall Ball                          ,0.07518934209325669  ,0.049918216514206096,0.1522823877287008  ,5411.0
Wall Squat                         ,0.02442514199823676  ,0.014864722231995215,0.06844876468205753 ,12345.0
accuracy                           ,0.09162487130538848  ,0.09162487130538848 ,0.09162487130538848 ,0.09162487130538848
macro avg                          ,0.11045096379936356  ,0.10979863735758816 ,0.19725219941209735 ,1405459.0
weighted avg                       ,0.07012018039980215  ,0.45396663245637797 ,0.09162487130538848 ,1405459.0
