Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.05819004107042108 ,0.8920654650921898  ,0.030075958208433982,859025.0
Band Pull-Down Row                 ,0.032059525996693   ,0.018582115379495785,0.11670289249289414 ,5981.0
Bicep Curl                         ,0.3134390535173716  ,0.2678724010253489  ,0.3776855632153136  ,14941.0
Box Jump (on bench)                ,0.09025433265811388 ,0.050056172762451626,0.4582857142857143  ,875.0
Burpee                             ,0.1041633686876682  ,0.06760505496763587 ,0.22681833850396416 ,11604.0
Butterfly sit-up                   ,0.14162648893930802 ,0.18072016647064146 ,0.11643835616438356 ,34310.0
Chest Press                        ,0.11215013751820094 ,0.07157312187667783 ,0.2589659294680215  ,6692.0
Crunch                             ,0.13067282604046368 ,0.08265245387154375 ,0.31186198448346264 ,9796.0
Dip                                ,0.1713516243056724  ,0.10885760114061664 ,0.402318535107364   ,7591.0
Dumbbell Deadlift Row              ,0.13562746838930906 ,0.09357836924376847 ,0.246302679862115   ,8993.0
Dumbbell Row (both)                ,0.027524178473708454,0.019112114371708053,0.04916287622181361 ,10333.0
Dumbbell Row (right)               ,0.0636935644110829  ,0.0360625           ,0.2724268177525968  ,2118.0
Dumbbell Squat (hands at side)     ,0.1593966943225185  ,0.09156889740213098 ,0.6147895107002914  ,9953.0
Elliptical machine                 ,0.27143304575610033 ,0.2542133333333333  ,0.2911550913200171  ,32742.0
Punches                            ,0.4093595120091498  ,0.32047455603641245 ,0.5664732260617251  ,7582.0
Jump Rope                          ,0.3760721570940549  ,0.34349465744814583 ,0.4154765137116481  ,18415.0
Jumping Jacks                      ,0.4001762891141472  ,0.293585100879462   ,0.6282867423194022  ,3613.0
Kettlebell Swing                   ,0.3143533806998232  ,0.20521754278994814 ,0.6714163579367342  ,7018.0
Lateral Raise                      ,0.17607288976583582 ,0.11052018067900336 ,0.4327485380116959  ,7011.0
Lawnmower (both)                   ,0.010444342647732478,0.005591524426133019,0.07905686546463246 ,721.0
Lawnmower (right)                  ,0.045859562691968496,0.027358490566037737,0.1416494458012399  ,5323.0
Lunge (both legs)                  ,0.11302092756769795 ,0.09380787906092006 ,0.14213120970800153 ,13185.0
Ball Slam                          ,0.2281900192939459  ,0.18081150318155528 ,0.3092142453363482  ,7076.0
Triceps Extension (standing - both),0.3204828882182109  ,0.33944511459589866 ,0.3035271276022004  ,9271.0
Plank                              ,0.12222265330058465 ,0.06645722649721053 ,0.7597017140313126  ,26954.0
Power Boat pose                    ,0.05462546450224917 ,0.02889300381722822 ,0.4993742177722153  ,5593.0
Pushups                            ,0.13122440686443065 ,0.09429893526214116 ,0.21568023016851626 ,9732.0
Rowing machine                     ,0.3278452894289821  ,0.33422139336619155 ,0.3217079112706757  ,31196.0
Running                            ,0.35838518304152794 ,0.3734056987788331  ,0.34452635971623313 ,35945.0
Russian Twist                      ,0.2131003856491761  ,0.1508708062714599  ,0.36270512182993536 ,10055.0
Seated Back Fly                    ,0.060608316890659326,0.041792883914360535,0.11023835319609968 ,7384.0
Shoulder Press                     ,0.11771775570877345 ,0.07899987264931868 ,0.23086465699044784 ,8061.0
Squat                              ,0.01633017040783625 ,0.02303278044178917 ,0.012649211043236123,46327.0
Triceps Kickback                   ,0.06828944089058736 ,0.07431516137781394 ,0.06316760162914009 ,13013.0
Triceps extension (lying)          ,0.27638228860224784 ,0.19462445554021035 ,0.4765868886576482  ,7688.0
Dumbbell Curl                      ,0.2861992619926199  ,0.23718654434250766 ,0.3607441860465117  ,10750.0
V-up                               ,0.2603662699237185  ,0.18655891110165887 ,0.4308024751988999  ,10181.0
Walk                               ,0.36004490537795364 ,0.3032861629909825  ,0.4429391164236037  ,60821.0
Walking lunge                      ,0.17449247536493775 ,0.12076445069761987 ,0.3143438453713123  ,9830.0
Wall Ball                          ,0.13562882112448896 ,0.08505433504257423 ,0.3345669874167284  ,5404.0
Wall Squat                         ,0.030853833613159118,0.02205063995548136 ,0.0513568246253544  ,12345.0
accuracy                           ,0.13914922501579569 ,0.13914922501579569 ,0.13914922501579569 ,0.13914922501579569
macro avg                          ,0.1756080790700764  ,0.16025950191825464 ,0.3120713712470216  ,1405448.0
weighted avg                       ,0.11629482051723501 ,0.6156642473745032  ,0.13914922501579569 ,1405448.0
