Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.8601917229548974   ,0.8135907273384073   ,0.9124555135284276  ,858969.0
Band Pull-Down Row                 ,0.23630963430480784  ,0.2657065330828637   ,0.2127695136219288  ,5983.0
Bicep Curl                         ,0.4822411894273128   ,0.4964920983629793   ,0.4687855470056875  ,14945.0
Box Jump (on bench)                ,0.0013966480446927375,0.0017953321364452427,0.001142857142857143,875.0
Burpee                             ,0.4557417317308536   ,0.4643367894172328   ,0.4474590869939707  ,11610.0
Butterfly sit-up                   ,0.6166320297247937   ,0.6701457805762782   ,0.5710328337318481  ,34294.0
Chest Press                        ,0.39067246900402336  ,0.4337283500455789   ,0.3553928891544667  ,6694.0
Crunch                             ,0.43724399339732223  ,0.5451219512195122   ,0.3650096968459732  ,9797.0
Dip                                ,0.5167142125667472   ,0.5810166145747656   ,0.4652265542676501  ,7592.0
Dumbbell Deadlift Row              ,0.3596702599873177   ,0.4185360094451003   ,0.31532132532799645 ,8994.0
Dumbbell Row (both)                ,0.18694922366764585  ,0.2041470958872723   ,0.17242380261248186 ,10335.0
Dumbbell Row (right)               ,0.0807222517259692   ,0.0924574209245742   ,0.07163053722902922 ,2122.0
Dumbbell Squat (hands at side)     ,0.5442836041358936   ,0.6613065326633166   ,0.4624497991967872  ,9960.0
Elliptical machine                 ,0.6395951793441333   ,0.7714039249514772   ,0.5462569866528206  ,32741.0
Punches                            ,0.7273625520502506   ,0.7822984666767876   ,0.6796359799525191  ,7582.0
Jump Rope                          ,0.5858706129160288   ,0.6128343514619536   ,0.5611796013685982  ,18413.0
Jumping Jacks                      ,0.7086477074869415   ,0.7451937747940189   ,0.6755186721991702  ,3615.0
Kettlebell Swing                   ,0.6440091368450197   ,0.6264476164826286   ,0.6625836775388121  ,7021.0
Lateral Raise                      ,0.3726492906631475   ,0.4420743639921722   ,0.3220701454234388  ,7014.0
Lawnmower (both)                   ,0.0                  ,0.0                  ,0.0                 ,721.0
Lawnmower (right)                  ,0.1841269841269841   ,0.2459170854271357   ,0.14715279082879154 ,5321.0
Lunge (both legs)                  ,0.3653760749323751   ,0.3908274313352911   ,0.3430369191115154  ,13191.0
Ball Slam                          ,0.4753163676818245   ,0.4680909339906874   ,0.4827683615819209  ,7080.0
Triceps Extension (standing - both),0.6497812820651293   ,0.650730124391563    ,0.6488352027610008  ,9272.0
Plank                              ,0.6464009176942931   ,0.7216098788017379   ,0.5853893815159722  ,26953.0
Power Boat pose                    ,0.4932035091101899   ,0.5346989966555183   ,0.4576847378779746  ,5589.0
Pushups                            ,0.6226611226611227   ,0.7114014251781473   ,0.5536044362292052  ,9738.0
Rowing machine                     ,0.6784159081989272   ,0.8132813550208361   ,0.5819172811798653  ,31190.0
Running                            ,0.7366955223452059   ,0.7612068709763551   ,0.7137134909596662  ,35950.0
Russian Twist                      ,0.36486652724812396  ,0.4781557310978559   ,0.29497762307309794 ,10055.0
Seated Back Fly                    ,0.3116463266790593   ,0.3861405968355698   ,0.2612466124661247  ,7380.0
Shoulder Press                     ,0.5818987341772152   ,0.5946959896507115   ,0.5696406443618339  ,8070.0
Squat                              ,0.5712206875164006   ,0.6385673902608139   ,0.5167242123435477  ,46340.0
Triceps Kickback                   ,0.4395752004365529   ,0.4840976331360946   ,0.4025524717459829  ,13007.0
Triceps extension (lying)          ,0.5635769459298872   ,0.657083477658469    ,0.493368010403121   ,7690.0
Dumbbell Curl                      ,0.4937869822485207   ,0.5256141087549864   ,0.465594197507904   ,10754.0
V-up                               ,0.6256346492591441   ,0.6617711530030689   ,0.593240322263706   ,10178.0
Walk                               ,0.5897064736630477   ,0.7587170201758924   ,0.4822755672476159  ,60820.0
Walking lunge                      ,0.3744961108272299   ,0.42396194883661137  ,0.3353670937563555  ,9834.0
Wall Ball                          ,0.6445927446954142   ,0.5991728964529982   ,0.6974634326976485  ,5401.0
Wall Squat                         ,0.22472491909385112  ,0.2405987249376328   ,0.2108160621761658  ,12352.0
accuracy                           ,0.7493763527772758   ,0.7493763527772758   ,0.7493763527772758  ,0.7493763527772758
macro avg                          ,0.47523432781873903  ,0.5213408416246671   ,0.4416027773630116  ,1405442.0
weighted avg                       ,0.7372812104618373   ,0.7360156034040289   ,0.7493763527772758  ,1405442.0
