Unnamed: 0                         ,f1-score           ,precision           ,recall             ,support
Noise                              ,0.8121572839889836 ,0.7863941335903413  ,0.8396656694178317 ,859030.0
Band Pull-Down Row                 ,0.03175869773380146,0.030381679389312976,0.03326646606486125,5982.0
Bicep Curl                         ,0.3495752676287618 ,0.3309417040358744  ,0.3704323383750502 ,14942.0
Box Jump (on bench)                ,0.11009174311926603,0.11857707509881422 ,0.10273972602739724,876.0
Burpee                             ,0.16896452972221088,0.16087566220006233 ,0.17790988196777807,11607.0
Butterfly sit-up                   ,0.4314850329358793 ,0.5043468090912635  ,0.3770181267121291 ,34314.0
Chest Press                        ,0.11867720819518827,0.13767258382642994 ,0.10428806215448977,6693.0
Crunch                             ,0.2787186556387029 ,0.3901856276419776  ,0.21678750127642196,9793.0
Dip                                ,0.32140964493905666,0.3232081001865175  ,0.31963109354413705,7590.0
Dumbbell Deadlift Row              ,0.1761741835147745 ,0.19997175540177944 ,0.15743829219479652,8994.0
Dumbbell Row (both)                ,0.1019381926475614 ,0.10290783637259734 ,0.10098665118978524,10338.0
Dumbbell Row (right)               ,0.07387343018960847,0.07731958762886597 ,0.07072135785007072,2121.0
Dumbbell Squat (hands at side)     ,0.2229241877256318 ,0.2542133024572237  ,0.19849321948769466,9955.0
Elliptical machine                 ,0.5765775803239419 ,0.5299267830628233  ,0.632234812620262  ,32741.0
Punches                            ,0.42013866390202814,0.4128358589074239  ,0.4277044854881267 ,7580.0
Jump Rope                          ,0.4605873261205564 ,0.4682379349046016  ,0.4531827069302629 ,18412.0
Jumping Jacks                      ,0.6211875644614705 ,0.6643554995272613  ,0.5832872163807415 ,3614.0
Kettlebell Swing                   ,0.5832356389214538 ,0.6006640507093269  ,0.5667900882939334 ,7022.0
Lateral Raise                      ,0.2897731993021517 ,0.3468575974542561  ,0.248822941931802  ,7009.0
Lawnmower (both)                   ,0.0                ,0.0                 ,0.0                ,720.0
Lawnmower (right)                  ,0.0931268561731014 ,0.10686465433300876 ,0.0825187969924812 ,5320.0
Lunge (both legs)                  ,0.18667068757539204,0.1855376545522668  ,0.1878176439353713 ,13183.0
Ball Slam                          ,0.3439769768397972 ,0.3338209868333555  ,0.3547703180212014 ,7075.0
Triceps Extension (standing - both),0.4453199752349862 ,0.4656856974690995  ,0.4266609145815358 ,9272.0
Plank                              ,0.4346166709291574 ,0.4626209322779243  ,0.4098093047414113 ,26954.0
Power Boat pose                    ,0.2258614161302537 ,0.2397508038585209  ,0.21349319971367212,5588.0
Pushups                            ,0.2849040139616056 ,0.303685617951401   ,0.26831022085259376,9735.0
Rowing machine                     ,0.4911128485796195 ,0.5360922505025983  ,0.453096947935368  ,31192.0
Running                            ,0.5314608527299783 ,0.5529432986591305  ,0.5115852132068649 ,35951.0
Russian Twist                      ,0.3073409825108611 ,0.3488430901504615  ,0.2746640119462419 ,10045.0
Seated Back Fly                    ,0.19131417500807232,0.237               ,0.16039523551705467,7388.0
Shoulder Press                     ,0.10837503292072688,0.11547635751368035 ,0.10209651408013894,8061.0
Squat                              ,0.3090483044093683 ,0.3441962748059243  ,0.2804135727853566 ,46328.0
Triceps Kickback                   ,0.3276438653637351 ,0.3765222599321222  ,0.2899976935496271 ,13007.0
Triceps extension (lying)          ,0.3815504223667489 ,0.4484273414162713  ,0.33203226645849604,7686.0
Dumbbell Curl                      ,0.3737300784823535 ,0.3874026751846676  ,0.36098967537903454,10751.0
V-up                               ,0.4553438446921062 ,0.476923076923077   ,0.43563286163522014,10176.0
Walk                               ,0.5389557026341603 ,0.5825739774963227  ,0.5014140085498191 ,60820.0
Walking lunge                      ,0.20480668756530826,0.2005066250974279  ,0.20929523034679146,9833.0
Wall Ball                          ,0.2305340766049272 ,0.2242827151854444  ,0.23714391416944136,5406.0
Wall Squat                         ,0.09793765891326868,0.1169459125154616  ,0.08424463345484001,12345.0
accuracy                           ,0.6518230117208095 ,0.6518230117208095  ,0.6518230117208095 ,0.6518230117208095
macro avg                          ,0.3100702234301599 ,0.3289262386376809  ,0.29653128818927155,1405449.0
weighted avg                       ,0.6420132434648566 ,0.6357099959123531  ,0.6518230117208095 ,1405449.0
