Unnamed: 0                         ,f1-score             ,precision           ,recall             ,support
Noise                              ,0.15626614008923329  ,0.7159066072429751  ,0.08770508311592456,858981.0
Band Pull-Down Row                 ,0.16358451434497062  ,0.11030825709457492 ,0.3163964566271101 ,5983.0
Bicep Curl                         ,0.2260712001705393   ,0.18783209351753452 ,0.28385974304068523,14944.0
Box Jump (on bench)                ,0.01443504230960677  ,0.00922685332484887 ,0.03314285714285714,875.0
Burpee                             ,0.18946870752319606  ,0.1442065491183879  ,0.2761412575366064 ,11610.0
Butterfly sit-up                   ,0.17004668534080294  ,0.2364457831325301  ,0.13276374876071614,34294.0
Chest Press                        ,0.34166080225193524  ,0.21255016417365924 ,0.870331640274873  ,6694.0
Crunch                             ,0.2543968474056776   ,0.19796694871940484 ,0.3558232111870981 ,9797.0
Dip                                ,0.2756154673754825   ,0.18138275718450644 ,0.5736301369863014 ,7592.0
Dumbbell Deadlift Row              ,0.15819277108433735  ,0.17262687352090456 ,0.1459862130309095 ,8994.0
Dumbbell Row (both)                ,0.02376838908957646  ,0.02589550536162446 ,0.02196419932268989,10335.0
Dumbbell Row (right)               ,0.11685983988529094  ,0.07827757323515287 ,0.23044297832233746,2122.0
Dumbbell Squat (hands at side)     ,0.11494195852763173  ,0.06262839225862256 ,0.6978915662650602 ,9960.0
Elliptical machine                 ,0.6846959512271377   ,0.6402487641524478  ,0.7357747167160441 ,32741.0
Punches                            ,0.6362235779873051   ,0.5971081550028918  ,0.6808230018464785 ,7582.0
Jump Rope                          ,0.5135277397620802   ,0.4981872031864372  ,0.5298430456742519 ,18413.0
Jumping Jacks                      ,0.5560907259830108   ,0.4068426447975397  ,0.8782849239280774 ,3615.0
Kettlebell Swing                   ,0.2832400637228871   ,0.19856815578465065 ,0.4938043013815696 ,7021.0
Lateral Raise                      ,0.1556133680208125   ,0.10817428078571033 ,0.2771599657827203 ,7014.0
Lawnmower (both)                   ,0.0                  ,0.0                 ,0.0                ,721.0
Lawnmower (right)                  ,0.05011792452830188  ,0.04122711288953559 ,0.06389776357827476,5321.0
Lunge (both legs)                  ,0.07517217700401914  ,0.05123616540939376 ,0.1410810401031006 ,13191.0
Ball Slam                          ,0.08115143163374675  ,0.06353392471829297 ,0.11228813559322036,7080.0
Triceps Extension (standing - both),0.4001024590163934   ,0.30278023925564906 ,0.5896246764452114 ,9272.0
Plank                              ,0.1267536336675918   ,0.06838727465784364 ,0.8650243015619783 ,26953.0
Power Boat pose                    ,0.1310514096185738   ,0.07077350758031697 ,0.8837001252460189 ,5589.0
Pushups                            ,0.28099503812980786  ,0.20792469567788674 ,0.4332511809406449 ,9738.0
Rowing machine                     ,0.26922437027917345  ,0.2798104855443353  ,0.2594100673292722 ,31190.0
Running                            ,0.6662512290030881   ,0.6633758927832777  ,0.6691515994436718 ,35950.0
Russian Twist                      ,0.19255388634879164  ,0.17126258714175058 ,0.21989060169070115,10055.0
Seated Back Fly                    ,0.02759381898454746  ,0.0429553264604811  ,0.02032520325203252,7380.0
Shoulder Press                     ,0.3161573408923232   ,0.2302211163264152  ,0.5044609665427511 ,8070.0
Squat                              ,0.0038603892227484383,0.024782830863566682,0.00209322399654726,46340.0
Triceps Kickback                   ,0.2652883069147714   ,0.3296414706554008  ,0.22195740754978088,13007.0
Triceps extension (lying)          ,0.19379603693329187  ,0.13200169595326708 ,0.364369310793238  ,7690.0
Dumbbell Curl                      ,0.2746575342465753   ,0.254481992701888   ,0.29830760647201043,10754.0
V-up                               ,0.2679608428737349   ,0.2318736539842068  ,0.3173511495382197 ,10178.0
Walk                               ,0.4591290853155413   ,0.34383670396045274 ,0.6907431765866491 ,60820.0
Walking lunge                      ,0.19212575765751186  ,0.11670235546038545 ,0.5431709549476254 ,9833.0
Wall Ball                          ,0.29986655153465736  ,0.2606441048034934  ,0.3529846608759933 ,5411.0
Wall Squat                         ,0.0646132971506106   ,0.03881137119384495 ,0.19276230569948186,12352.0
accuracy                           ,0.21550422565675914  ,0.21550422565675914 ,0.21550422565675914,0.21550422565675914
macro avg                          ,0.2359298125135931   ,0.21245483096624604 ,0.3748198659787496 ,1405462.0
weighted avg                       ,0.20694536725263407  ,0.5366419412397033  ,0.21550422565675914,1405462.0
