Unnamed: 0                         ,f1-score             ,precision            ,recall               ,support
Noise                              ,0.16657871482702458  ,0.7492065264941037   ,0.093706744710995    ,858999.0
Band Pull-Down Row                 ,0.20114918067673976  ,0.1349129317727662   ,0.3951505016722408   ,5980.0
Bicep Curl                         ,0.2574181117533719   ,0.20887184190777955  ,0.3353638128388781   ,14939.0
Box Jump (on bench)                ,0.02023267577137076  ,0.012991230919129588 ,0.045714285714285714 ,875.0
Burpee                             ,0.2265815085158151   ,0.17512105683794835  ,0.3208717374450857   ,11609.0
Butterfly sit-up                   ,0.22402728695254676  ,0.28226485313012273  ,0.1857109543520084   ,34306.0
Chest Press                        ,0.35914793193392125  ,0.2267220762927824   ,0.8635209795430789   ,6697.0
Crunch                             ,0.2902281190123278   ,0.2246851385390428   ,0.4097590853409555   ,9796.0
Dip                                ,0.3033925580478833   ,0.2020913545677284   ,0.608323455814566    ,7593.0
Dumbbell Deadlift Row              ,0.19099770014237213  ,0.18825561312607944  ,0.1938208490775728   ,8998.0
Dumbbell Row (both)                ,0.016386641775565234 ,0.017659550687381245 ,0.01528489890683951  ,10337.0
Dumbbell Row (right)               ,0.14233777679850174  ,0.092816091954023    ,0.30514879546528106  ,2117.0
Dumbbell Squat (hands at side)     ,0.1285457210173831   ,0.0708146391815794   ,0.695752585600964    ,9959.0
Elliptical machine                 ,0.7524669020941419   ,0.7177432769614638   ,0.790721114199322    ,32741.0
Punches                            ,0.6848896226991991   ,0.638613296841145    ,0.7383966244725738   ,7584.0
Jump Rope                          ,0.5462223352836428   ,0.5138071308925579   ,0.5830029866956286   ,18415.0
Jumping Jacks                      ,0.6790842872008325   ,0.5440146715571857   ,0.9033776301218162   ,3612.0
Kettlebell Swing                   ,0.2999515124389243   ,0.20312184279652454  ,0.57320028510335     ,7015.0
Lateral Raise                      ,0.17064624498789868  ,0.1142718916303822   ,0.3368030799942963   ,7013.0
Lawnmower (both)                   ,0.0007342143906020558,0.0004995004995004995,0.0013850415512465374,722.0
Lawnmower (right)                  ,0.07205666829506595  ,0.053364688856729375 ,0.11090225563909774  ,5320.0
Lunge (both legs)                  ,0.0785547290116897   ,0.05457444923513083  ,0.14012738853503184  ,13188.0
Ball Slam                          ,0.12171859387773637  ,0.08967409489393027  ,0.18939929328621907  ,7075.0
Triceps Extension (standing - both),0.43789284645315774  ,0.33512770587561563  ,0.6315562270666955   ,9266.0
Plank                              ,0.12740162673114971  ,0.06879585005104343  ,0.8601216978331849   ,26952.0
Power Boat pose                    ,0.14016703990084647  ,0.07607050586274901  ,0.8904795991410165   ,5588.0
Pushups                            ,0.32925752326608243  ,0.24604060913705586  ,0.4975364401560254   ,9742.0
Rowing machine                     ,0.3190114185466744   ,0.3067747950395122   ,0.3322647860234012   ,31195.0
Running                            ,0.7693343431793319   ,0.7758415841584159   ,0.7629353510626461   ,35948.0
Russian Twist                      ,0.22002613524991832  ,0.18660386506892013  ,0.2680330315391503   ,10051.0
Seated Back Fly                    ,0.0473030457716522   ,0.06367384333486029  ,0.0376285868976719   ,7388.0
Shoulder Press                     ,0.3521296488676501   ,0.2647959502531092   ,0.525421626984127    ,8064.0
Squat                              ,0.0071597136114555406,0.04886704886704887  ,0.003862836919225706 ,46339.0
Triceps Kickback                   ,0.31217838765008576  ,0.37804744725046463  ,0.26585684631352346  ,13007.0
Triceps extension (lying)          ,0.2293701344656759   ,0.15754423488236438  ,0.42156607700312176  ,7688.0
Dumbbell Curl                      ,0.3054601301378168   ,0.27010220856264744  ,0.3514694940476191   ,10752.0
V-up                               ,0.3121695194077788   ,0.2596429502215272   ,0.3913385053520573   ,10183.0
Walk                               ,0.4795786229844989   ,0.3591355084738828   ,0.7215718513646827   ,60820.0
Walking lunge                      ,0.2268481251988993   ,0.13899020484940242  ,0.6166293507022186   ,9826.0
Wall Ball                          ,0.38340201790535744  ,0.3115473441108545   ,0.4983376431473957   ,5414.0
Wall Squat                         ,0.10184401528557872  ,0.0605012569513217   ,0.3216165870251883   ,12347.0
accuracy                           ,0.2366904785621789   ,0.2366904785621789   ,0.2366904785621789   ,0.2366904785621789
macro avg                          ,0.2691191056614187   ,0.2396146503055076   ,0.4203334371868363   ,1405460.0
weighted avg                       ,0.2271553944695114   ,0.5693470677151561   ,0.2366904785621789   ,1405460.0
