Unnamed: 0                         ,f1-score             ,precision            ,recall              ,support
Noise                              ,0.25513308475107555  ,0.8625854355452113   ,0.14970641236374135 ,859028.0
Band Pull-Down Row                 ,0.30273737045127114  ,0.20964212152420186  ,0.5445577662598228  ,5981.0
Bicep Curl                         ,0.36353176285350935  ,0.3319325407796516   ,0.4017803359882203  ,14941.0
Box Jump (on bench)                ,0.08370786516853933  ,0.05547282204020849  ,0.17048054919908467 ,874.0
Burpee                             ,0.3283052351375333   ,0.2545670225385528   ,0.4621812543073742  ,11608.0
Butterfly sit-up                   ,0.38187274174781066  ,0.3293543480098031   ,0.4543176055722321  ,34313.0
Chest Press                        ,0.44591133715687337  ,0.2939134569662387   ,0.923502166442552   ,6693.0
Crunch                             ,0.3746988319253409   ,0.2671334145068708   ,0.6272847952619218  ,9793.0
Dip                                ,0.4061769859813084   ,0.2809454067976365   ,0.7328415228560137  ,7591.0
Dumbbell Deadlift Row              ,0.3164302243686488   ,0.288982817237894    ,0.3496386881600889  ,8995.0
Dumbbell Row (both)                ,0.012655676917496271 ,0.010848535102266443 ,0.015185221007834412,10339.0
Dumbbell Row (right)               ,0.14663877012644408  ,0.0908271354518819   ,0.3803680981595092  ,2119.0
Dumbbell Squat (hands at side)     ,0.16961936769111452  ,0.09994086339444117  ,0.5601647247890719  ,9956.0
Elliptical machine                 ,0.768573919841246    ,0.7568767950729873   ,0.7806382653840281  ,32745.0
Punches                            ,0.7084264572636666   ,0.6535889433794025   ,0.7733087168666755  ,7583.0
Jump Rope                          ,0.5036877620104467   ,0.42884409833562376  ,0.6101786975177883  ,18411.0
Jumping Jacks                      ,0.7027751985969257   ,0.5601973684210526   ,0.9427068917796844  ,3613.0
Kettlebell Swing                   ,0.7349249323160226   ,0.646950492904344    ,0.8505910838911835  ,7021.0
Lateral Raise                      ,0.2456254819384305   ,0.1550413718222322   ,0.5908118133827935  ,7009.0
Lawnmower (both)                   ,0.0026972353337828725,0.0017817371937639199,0.005547850208044383,721.0
Lawnmower (right)                  ,0.09611737141582058  ,0.05643629217163445  ,0.32375046974821503 ,5322.0
Lunge (both legs)                  ,0.08441807044410413  ,0.06166322927954696  ,0.13378839590443686 ,13185.0
Ball Slam                          ,0.27363499098923577  ,0.20872343587457276  ,0.3971440689947688  ,7073.0
Triceps Extension (standing - both),0.5869997882701673   ,0.4830638416504042   ,0.7479227365922089  ,9267.0
Plank                              ,0.13127264565363775  ,0.07123333607506438  ,0.8353552216657392  ,26955.0
Power Boat pose                    ,0.1722404827742126   ,0.0953866897813734   ,0.8865019692087361  ,5586.0
Pushups                            ,0.465525632706035    ,0.3846514745308311   ,0.5894617912900575  ,9736.0
Rowing machine                     ,0.6705557745368546   ,0.6597480764457682   ,0.681723463597602   ,31193.0
Running                            ,0.7570302161446846   ,0.750368912936547    ,0.7638108484005564  ,35950.0
Russian Twist                      ,0.2654608738889925   ,0.1929349053620635   ,0.4253560402350364  ,10041.0
Seated Back Fly                    ,0.14565032587135165  ,0.12532917194967327  ,0.1738365800865801  ,7392.0
Shoulder Press                     ,0.5081216159933362   ,0.4377466810190169   ,0.6054590570719603  ,8060.0
Squat                              ,0.01807370315311791  ,0.09635036496350363  ,0.009972155669235252,46329.0
Triceps Kickback                   ,0.3762901798879386   ,0.4163326186258973   ,0.3432744043043812  ,13010.0
Triceps extension (lying)          ,0.4238754325259516   ,0.336                ,0.5739945333853963  ,7683.0
Dumbbell Curl                      ,0.4915553883769042   ,0.4126823722604687   ,0.6077008928571429  ,10752.0
V-up                               ,0.5536283736485961   ,0.4581616889804325   ,0.6993515425427392  ,10178.0
Walk                               ,0.5189262263422171   ,0.3851164123960888   ,0.7952318316343309  ,60820.0
Walking lunge                      ,0.2965266977708657   ,0.1862270146377038   ,0.7272912216458143  ,9831.0
Wall Ball                          ,0.5948688215683432   ,0.4893287230237272   ,0.7584549990759564  ,5411.0
Wall Squat                         ,0.1406301260008991   ,0.08272342615358225  ,0.4687727825030377  ,12345.0
accuracy                           ,0.3107268617307018   ,0.3107268617307018   ,0.3107268617307018  ,0.3107268617307018
macro avg                          ,0.3615983653546525   ,0.3163325706132235   ,0.5335109138002828  ,1405453.0
weighted avg                       ,0.31355553498369065  ,0.6653396525544207   ,0.3107268617307018  ,1405453.0
