Unnamed: 0                         ,f1-score            ,precision            ,recall              ,support
Noise                              ,0.3069304451984886  ,0.8876592853323828   ,0.1855433552659151  ,858996.0
Band Pull-Down Row                 ,0.3107480064576097  ,0.21964038727524204  ,0.5310148804547734  ,5981.0
Bicep Curl                         ,0.304715697296018   ,0.27305020942685965  ,0.34468911050130513 ,14941.0
Box Jump (on bench)                ,0.0920442383160899  ,0.06687402799377916  ,0.14759725400457666 ,874.0
Burpee                             ,0.4147683147812581  ,0.3320725388601036   ,0.5523095484315753  ,11604.0
Butterfly sit-up                   ,0.5007036202194299  ,0.4370312398095611   ,0.5860932944606414  ,34300.0
Chest Press                        ,0.5023804324088229  ,0.3550438325719225   ,0.8587427206211736  ,6697.0
Crunch                             ,0.4195501993365592  ,0.298902909674342    ,0.70351092059604    ,9798.0
Dip                                ,0.3763366564669497  ,0.25082233235384416  ,0.7532929399367756  ,7592.0
Dumbbell Deadlift Row              ,0.2353784697326642  ,0.2183165494964849   ,0.25533333333333336 ,9000.0
Dumbbell Row (both)                ,0.1005586592178771  ,0.07025842178126443  ,0.1768121552308139  ,10333.0
Dumbbell Row (right)               ,0.10720887245841036 ,0.062327295056800736 ,0.3830188679245283  ,2120.0
Dumbbell Squat (hands at side)     ,0.2255563047875927  ,0.14835112617606994  ,0.47032238626092204 ,9957.0
Elliptical machine                 ,0.7617760024581349  ,0.7663915422424187   ,0.7572157234049052  ,32741.0
Punches                            ,0.7068306171677355  ,0.6384312891912      ,0.7916447021613073  ,7588.0
Jump Rope                          ,0.5203056399864912  ,0.4254988607332735   ,0.6694731124388921  ,18410.0
Jumping Jacks                      ,0.6794390677463954  ,0.5281744203899893   ,0.9521173539994464  ,3613.0
Kettlebell Swing                   ,0.6947246376811593  ,0.5853849159828057   ,0.8542914171656687  ,7014.0
Lateral Raise                      ,0.3085434427716307  ,0.19577227039054707  ,0.7277524244152881  ,7012.0
Lawnmower (both)                   ,0.005170630816959668,0.0041220115416323155,0.006934812760055479,721.0
Lawnmower (right)                  ,0.06432868344104446 ,0.03570247250475482  ,0.3245630520578839  ,5321.0
Lunge (both legs)                  ,0.1031471505528778  ,0.08237851546578506  ,0.13791796193797862 ,13189.0
Ball Slam                          ,0.4153846153846154  ,0.31088955978375343  ,0.6256888512081391  ,7077.0
Triceps Extension (standing - both),0.6460242525224474  ,0.5655591572123176   ,0.7531836822793007  ,9266.0
Plank                              ,0.1352902755796719  ,0.07389899350270664  ,0.7993320964749536  ,26950.0
Power Boat pose                    ,0.211780624604439   ,0.12059751944920835  ,0.8682891911238368  ,5588.0
Pushups                            ,0.3357675167584167  ,0.264296663129348    ,0.460219689970229   ,9741.0
Rowing machine                     ,0.6742161038507944  ,0.6168209383977019   ,0.7433883635197949  ,31195.0
Running                            ,0.7519009487921405  ,0.7283084784649078   ,0.7770730757461959  ,35949.0
Russian Twist                      ,0.214416464651462   ,0.14265025343953658  ,0.4315013938669853  ,10044.0
Seated Back Fly                    ,0.18131667545531985 ,0.1294601482854495   ,0.3024766544863987  ,7389.0
Shoulder Press                     ,0.5701595978329836  ,0.4702141362099501   ,0.7240609892153217  ,8067.0
Squat                              ,0.017179274037129398,0.1037284894837476   ,0.009365154719261146,46342.0
Triceps Kickback                   ,0.29366239573480096 ,0.3330732468545792   ,0.2625913110342176  ,13005.0
Triceps extension (lying)          ,0.6349537883139262  ,0.5303096380287833   ,0.7910486599011191  ,7686.0
Dumbbell Curl                      ,0.5365498090940646  ,0.4280334496317218   ,0.7187761554914908  ,10753.0
V-up                               ,0.5307353776263487  ,0.4155504918579448   ,0.7342629873318276  ,10183.0
Walk                               ,0.5499236921152114  ,0.4091594844880993   ,0.8383399924365741  ,60819.0
Walking lunge                      ,0.29319667500605273 ,0.18285685524461445  ,0.7393162393162394  ,9828.0
Wall Ball                          ,0.6280256634587343  ,0.5181041741850114   ,0.7971497316305756  ,5403.0
Wall Squat                         ,0.17959196553954904 ,0.11152919042859663  ,0.4608097165991903  ,12350.0
accuracy                           ,0.3434846243552717  ,0.3434846243552717   ,0.3434846243552717  ,0.3434846243552717
macro avg                          ,0.3790541830648368  ,0.3252987151787571   ,0.5611479332613525  ,1405437.0
weighted avg                       ,0.3521780196559107  ,0.6844366471677861   ,0.3434846243552717  ,1405437.0
