Unnamed: 0                         ,f1-score            ,precision           ,recall              ,support
Noise                              ,0.02608327233151794 ,0.6869172932330827  ,0.013294033283975451,859032.0
Band Pull-Down Row                 ,0.01718326070870673 ,0.011392750068138457,0.03494398929944825 ,5981.0
Bicep Curl                         ,0.23656802289558315 ,0.21152324170316045 ,0.2683400267737617  ,14940.0
Box Jump (on bench)                ,0.010745298931717374,0.005683320116309807,0.09828571428571428 ,875.0
Burpee                             ,0.07913419053765576 ,0.04897081413210445 ,0.2060496380558428  ,11604.0
Butterfly sit-up                   ,0.045860504678196766,0.058493807069885176,0.03771495190906441 ,34310.0
Chest Press                        ,0.04876266656411637 ,0.027981904446651214,0.1894799760908548  ,6692.0
Crunch                             ,0.0670113753877973  ,0.040311877903118784,0.19844834626378116 ,9796.0
Dip                                ,0.08892062736385517 ,0.055629095241246936,0.22144644974311686 ,7591.0
Dumbbell Deadlift Row              ,0.052249869776014736,0.0408418942620897  ,0.072500833981986   ,8993.0
Dumbbell Row (both)                ,0.023770052794001382,0.01613796924781826 ,0.04509822897512823 ,10333.0
Dumbbell Row (right)               ,0.02385447847110293 ,0.013216308618666123,0.12228517469310672 ,2118.0
Dumbbell Squat (hands at side)     ,0.11474787661462355 ,0.06596647506695959 ,0.4404702099869386  ,9953.0
Elliptical machine                 ,0.1678997122893547  ,0.25662771704988063 ,0.12476330095901288 ,32742.0
Punches                            ,0.399662415603901   ,0.3100538338425724  ,0.5621208124505408  ,7582.0
Jump Rope                          ,0.33223907629612864 ,0.3469062112168312  ,0.3187618789030682  ,18415.0
Jumping Jacks                      ,0.3447599018576937  ,0.2308486669170109  ,0.6805978411292555  ,3613.0
Kettlebell Swing                   ,0.21190572306927927 ,0.13547746674607902 ,0.4861783984041037  ,7018.0
Lateral Raise                      ,0.08357668496670949 ,0.052546542797341465,0.20410783055198967 ,7011.0
Lawnmower (both)                   ,0.002251829611559392,0.00120760792995874 ,0.016643550624133148,721.0
Lawnmower (right)                  ,0.026452571004269537,0.017565485362095533,0.05354123614503099 ,5323.0
Lunge (both legs)                  ,0.07958273192494424 ,0.07011966009595931 ,0.09199848312476297 ,13185.0
Ball Slam                          ,0.06868473991761663 ,0.05194899289957977 ,0.10132843414358396 ,7076.0
Triceps Extension (standing - both),0.13108812870149386 ,0.11104455260202173 ,0.15996116923740694 ,9271.0
Plank                              ,0.11101230063720087 ,0.059574537514174374,0.8127921644282853  ,26954.0
Power Boat pose                    ,0.0480294124534576  ,0.02569756806535276 ,0.3667083854818523  ,5593.0
Pushups                            ,0.0940039022685576  ,0.06559109196570083 ,0.1658446362515413  ,9732.0
Rowing machine                     ,0.14945387693305934 ,0.17071563863954542 ,0.13290165405821258 ,31196.0
Running                            ,0.4457292794923037  ,0.4934472742011754  ,0.4064264849074976  ,35945.0
Russian Twist                      ,0.0981920119332356  ,0.06622034133481337 ,0.1898557931377424  ,10055.0
Seated Back Fly                    ,0.009001058948111543,0.012917933130699088,0.0069068255687974  ,7384.0
Shoulder Press                     ,0.05145905240037653 ,0.03762546601663321 ,0.08137948145391391 ,8061.0
Squat                              ,0.011898781866130857,0.02181043908614836 ,0.008180974377792648,46327.0
Triceps Kickback                   ,0.04316350225379046 ,0.0529608938547486  ,0.03642511334819027 ,13013.0
Triceps extension (lying)          ,0.10791951153487532 ,0.07019053953597558 ,0.2333506763787721  ,7688.0
Dumbbell Curl                      ,0.1139708398932165  ,0.09015594541910332 ,0.15488372093023256 ,10750.0
V-up                               ,0.10269287384189107 ,0.07271315294694679 ,0.1747372556723308  ,10181.0
Walk                               ,0.3253568951038738  ,0.2926540906941306  ,0.366287959750744   ,60821.0
Walking lunge                      ,0.1073367571533382  ,0.08393092765762147 ,0.14884525384067554 ,9829.0
Wall Ball                          ,0.1115339727000558  ,0.07686389704853826 ,0.2031798853762248  ,5409.0
Wall Squat                         ,0.02292810334850404 ,0.01420707834244292 ,0.05937626569461321 ,12345.0
accuracy                           ,0.09527143464977253 ,0.09527143464977253 ,0.09527143464977253 ,0.09527143464977253
macro avg                          ,0.1130896864648736  ,0.11157781229322714 ,0.2023522692603177  ,1405458.0
weighted avg                       ,0.0748792583817158  ,0.4763611037279024  ,0.09527143464977253 ,1405458.0
